strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
83,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),UNDER,-13.6,45.3,138,210,107,101,2,51.442307692307686,-372.6300000000007,-1.7744285714285748,11.825571428571426,2024-25
4,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,11.1,58.2,67,206,96,109,1,46.82926829268293,-2172.6400000000003,-10.546796116504856,-21.646796116504856,2024-25
95,20-25 (Star),6-10 Dog,Perimeter (<40.0%),UNDER,-20.2,41.8,67,206,109,96,1,53.170731707317074,309.1899999999995,1.5009223300970849,21.700922330097086,2024-25
27,5-10 (Bench),2-6 Fav,Rim Attacker (≥40.0%),UNDER,2.2,53.5,171,205,103,102,0,50.24390243902439,-836.270000000002,-4.079365853658547,-6.279365853658547,2024-25
73,5-10 (Bench),2-6 Fav,Rim Attacker (≥40.0%),OVER,-11.3,46.5,171,205,102,103,0,49.75609756097561,-1027.1800000000014,-5.01063414634147,6.289365853658531,2024-25
78,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,-11.9,46.2,117,201,105,96,0,52.23880597014925,-54.450000000000955,-0.2708955223880644,11.629104477611936,2024-25
21,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,2.8,53.8,117,201,96,105,0,47.76119402985074,-1772.6400000000008,-8.819104477611944,-11.619104477611945,2024-25
8,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,10.0,57.6,125,189,78,111,0,41.269841269841265,-4009.020000000001,-21.21174603174604,-31.21174603174604,2024-25
92,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),OVER,-19.1,42.4,125,189,111,78,0,58.730158730158735,2291.0099999999998,12.121746031746031,31.221746031746033,2024-25
26,10-15 (Role Player),10-15 Dog,Perimeter (<40.0%),OVER,2.2,53.5,114,188,88,99,1,47.05882352941176,-1899.9200000000005,-10.105957446808514,-12.305957446808513,2024-25
52,5-10 (Bench),6-10 Dog,Rim Attacker (≥40.0%),UNDER,-5.5,49.5,106,188,94,94,0,50.0,-854.4600000000007,-4.5450000000000035,0.9549999999999965,2024-25
47,5-10 (Bench),6-10 Dog,Rim Attacker (≥40.0%),OVER,-3.6,50.5,106,188,94,94,0,50.0,-854.4600000000005,-4.545000000000003,-0.9450000000000025,2024-25
72,10-15 (Role Player),10-15 Dog,Perimeter (<40.0%),UNDER,-11.2,46.5,114,188,99,88,1,52.94117647058824,200.089999999999,1.0643085106382926,12.264308510638292,2024-25
11,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,7.7,56.4,101,185,92,92,1,50.0,-836.2800000000009,-4.520432432432437,-12.220432432432437,2024-25
88,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,-16.8,43.6,101,185,92,92,1,50.0,-836.2800000000013,-4.52043243243244,12.279567567567561,2024-25
89,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),OVER,-17.8,43.1,65,175,85,90,0,48.57142857142857,-1272.65,-7.272285714285714,10.527714285714286,2024-25
10,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,8.7,56.9,65,175,90,85,0,51.42857142857142,-318.1000000000005,-1.8177142857142885,-10.517714285714288,2024-25
79,15-20 (High Role),10-15 Fav,Perimeter (<40.0%),OVER,-12.1,46.1,77,171,90,81,0,52.63157894736842,81.89999999999964,0.4789473684210505,12.57894736842105,2024-25
20,15-20 (High Role),10-15 Fav,Perimeter (<40.0%),UNDER,3.0,53.9,77,171,81,90,0,47.368421052631575,-1636.2900000000009,-9.568947368421057,-12.568947368421057,2024-25
91,10-15 (Role Player),Pick'em (-2 to +2),Rim Attacker (≥40.0%),OVER,-19.1,42.4,85,167,76,90,1,45.78313253012048,-2090.8400000000006,-12.520000000000003,6.579999999999998,2024-25
7,10-15 (Role Player),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,10.1,57.6,85,167,90,76,1,54.21686746987952,581.8999999999991,3.4844311377245454,-6.615568862275454,2024-25
97,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),UNDER,-24.3,39.7,58,163,69,94,0,42.331288343558285,-3127.210000000001,-19.18533742331289,5.11466257668711,2024-25
2,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,15.2,60.3,58,163,94,69,0,57.668711656441715,1645.5399999999995,10.09533742331288,-5.104662576687119,2024-25
30,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,1.6,53.2,62,154,76,78,0,49.35064935064935,-890.8400000000004,-5.7846753246753275,-7.384675324675328,2024-25
69,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,-10.7,46.8,62,154,78,76,0,50.649350649350644,-509.0200000000005,-3.3053246753246786,7.394675324675321,2024-25
94,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),OVER,-19.7,42.1,108,149,78,71,0,52.348993288590606,-9.020000000000323,-0.06053691275168002,19.63946308724832,2024-25
5,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,10.6,57.9,108,149,71,78,0,47.651006711409394,-1345.39,-9.029463087248322,-19.629463087248322,2024-25
