event_id,player,market,line,bookmaker,game,game_time,bookmaker_last_update,market_last_update,minutes_stale,over_odds,under_odds
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_rebounds,7.5,williamhill_us,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:11Z,0.69,120.0,-162.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Daniel Gafford,player_rebounds,3.5,williamhill_us,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:11Z,0.69,118.0,-157.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_rebounds,3.5,williamhill_us,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:11Z,0.69,-141.0,106.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Lauri Markkanen,player_threes,2.5,williamhill_us,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:11Z,0.69,146.0,-197.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_threes,4.5,williamhill_us,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:11Z,0.69,142.0,-193.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Klay Thompson,player_threes,3.5,williamhill_us,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:37:11Z,0.69,120.0,-159.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_assists,3.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-180.0,135.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_assists,4.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,120.0,-160.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Isaiah Collier,player_assists,3.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-130.0,100.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Isaiah Collier,player_assists,4.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,165.0,-220.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_assists,5.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-250.0,185.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_assists,6.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-130.0,100.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_assists,7.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,135.0,-180.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Kyle Filipowski,player_assists,2.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-185.0,140.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Kyle Filipowski,player_assists,3.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,130.0,-170.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Naji Marshall,player_assists,2.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-220.0,165.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Naji Marshall,player_assists,3.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,110.0,-145.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ryan Nembhard,player_assists,6.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-165.0,125.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ryan Nembhard,player_assists,7.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,110.0,-145.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ryan Nembhard,player_assists,8.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,190.0,-260.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Walter Clayton Jr.,player_assists,2.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-250.0,185.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Walter Clayton Jr.,player_assists,3.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,100.0,-130.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Anthony Davis,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Kyle Filipowski,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Lauri Markkanen,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,P.J. Washington,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Keyonte George,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Naji Marshall,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Kevin Love,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Brandon Williams,player_double_double,,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:35:37Z,2.26,,
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_points,10.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-220.0,165.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_points,11.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-160.0,120.0
