event_id,player,market,line,bookmaker,game,game_time,over_odds,under_odds
078f0883a88c1fb2deaf8a47b59c671f,LaMelo Ball,player_points_rebounds_assists,34.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-104.0,-122.0
078f0883a88c1fb2deaf8a47b59c671f,Kon Knueppel,player_points_rebounds_assists,25.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-113.0,-113.0
078f0883a88c1fb2deaf8a47b59c671f,Ivica Zubac,player_points_rebounds_assists,31.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-111.0,-115.0
078f0883a88c1fb2deaf8a47b59c671f,Brandon Miller,player_points_rebounds_assists,20.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-122.0,-104.0
078f0883a88c1fb2deaf8a47b59c671f,Miles Bridges,player_points_rebounds_assists,29.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-111.0,-115.0
078f0883a88c1fb2deaf8a47b59c671f,Collin Sexton,player_points_rebounds_assists,17.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-125.0,-102.0
078f0883a88c1fb2deaf8a47b59c671f,Kris Dunn,player_points_rebounds_assists,13.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-111.0,-115.0
078f0883a88c1fb2deaf8a47b59c671f,Ryan Kalkbrenner,player_rebounds,7.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,108.0,-138.0
078f0883a88c1fb2deaf8a47b59c671f,LaMelo Ball,player_rebounds,5.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,102.0,-130.0
078f0883a88c1fb2deaf8a47b59c671f,Miles Bridges,player_rebounds,6.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-128.0,100.0
078f0883a88c1fb2deaf8a47b59c671f,John Collins,player_rebounds,5.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,106.0,-136.0
078f0883a88c1fb2deaf8a47b59c671f,Moussa Diabate,player_rebounds,7.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-115.0,-111.0
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_rebounds,5.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-146.0,114.0
078f0883a88c1fb2deaf8a47b59c671f,Brandon Miller,player_rebounds,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-178.0,138.0
078f0883a88c1fb2deaf8a47b59c671f,Kon Knueppel,player_rebounds,5.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-122.0,-104.0
078f0883a88c1fb2deaf8a47b59c671f,Ivica Zubac,player_rebounds,11.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-115.0,-111.0
078f0883a88c1fb2deaf8a47b59c671f,Kris Dunn,player_rebounds,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-125.0,-102.0
078f0883a88c1fb2deaf8a47b59c671f,Ivica Zubac,player_steals,0.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-146.0,110.0
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_steals,1.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,148.0,-200.0
078f0883a88c1fb2deaf8a47b59c671f,LaMelo Ball,player_steals,1.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,162.0,-220.0
078f0883a88c1fb2deaf8a47b59c671f,Kris Dunn,player_steals,1.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-114.0,-114.0
078f0883a88c1fb2deaf8a47b59c671f,Kon Knueppel,player_threes,3.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,138.0,-178.0
078f0883a88c1fb2deaf8a47b59c671f,Brandon Miller,player_threes,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,122.0,-156.0
078f0883a88c1fb2deaf8a47b59c671f,Nicolas Batum,player_threes,1.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,150.0,-194.0
078f0883a88c1fb2deaf8a47b59c671f,Miles Bridges,player_threes,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-104.0,-122.0
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_threes,3.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-102.0,-125.0
078f0883a88c1fb2deaf8a47b59c671f,Collin Sexton,player_threes,1.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,164.0,-215.0
078f0883a88c1fb2deaf8a47b59c671f,LaMelo Ball,player_threes,2.5,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,-172.0,134.0
078f0883a88c1fb2deaf8a47b59c671f,James Harden,player_triple_double,,fanduel,Los Angeles Clippers @ Charlotte Hornets,2025-11-22T18:10:00Z,,
