consensus_line,num_bookmakers,avg_vig,over_best_odds,over_best_book,over_avg_odds,over_worst_odds,over_worst_book,under_best_odds,under_best_book,under_avg_odds,under_worst_odds,under_worst_book,best_market_vig,avg_market_vig,is_arbitrage,arb_opportunity,arb_profit_pct,alternative_lines,num_alternative_lines,date,player,game
1.5,8,7.06,125,bovada,119.2,115,betrivers,-152,betrivers,-159.5,-170,williamhill_us,4.76,7.07,False,0,0.0,,0,2025-10-22,Joel Embiid,Philadelphia 76ers @ Boston Celtics
0.5,2,6.92,-155,betmgm,-175.5,-196,betonlineag,148,betonlineag,131.5,115,betmgm,1.11,6.9,False,0,0.0,,0,2025-10-22,Jonathan Kuminga,Golden State Warriors @ Los Angeles Lakers
1.5,4,7.25,-115,fanatics,-121.2,-130,betmgm,-105,betmgm,-110.5,-115,fanatics,4.71,7.3,False,0,0.0,,0,2025-10-22,Jordan Clarkson,Cleveland Cavaliers @ New York Knicks
1.5,7,7.13,-145,betmgm,-159.0,-175,fanatics,127,draftkings,118.6,110,betmgm,3.24,7.14,False,0,0.0,[2.5],1,2025-10-22,Karl-Anthony Towns,Cleveland Cavaliers @ New York Knicks
0.5,1,7.3,115,betmgm,115.0,115,betmgm,-155,betmgm,-155.0,-155,betmgm,7.3,7.3,False,0,0.0,,0,2025-10-22,Kel'el Ware,Miami Heat @ Orlando Magic
1.5,6,7.19,155,draftkings,145.0,130,fanatics,-177,betrivers,-197.2,-209,williamhill_us,3.11,7.17,False,0,0.0,[0.5],1,2025-10-22,Kelly Oubre Jr,Philadelphia 76ers @ Boston Celtics
1.5,8,6.91,-106,draftkings,-120.0,-146,fanduel,110,fanduel,-85.8,-122,draftkings,-0.92,0.71,True,1,0.92,,0,2025-10-22,Kon Knueppel,Brooklyn Nets @ Charlotte Hornets
1.5,8,6.87,210,bovada,-96.8,-145,betmgm,110,betmgm,56.8,-290,bovada,-20.12,12.97,True,1,20.12,,0,2025-10-22,Kristaps Porzingis,Toronto Raptors @ Atlanta Hawks
3.5,8,6.87,180,bovada,-73.6,-120,betmgm,-110,betmgm,-135.9,-245,bovada,-11.9,0.01,True,1,11.9,,0,2025-10-22,LaMelo Ball,Brooklyn Nets @ Charlotte Hornets
1.5,6,7.1,-167,draftkings,-176.2,-190,betmgm,140,betmgm,130.8,125,fanatics,4.21,7.11,False,0,0.0,,0,2025-10-22,Lonzo Ball,Cleveland Cavaliers @ New York Knicks
3.5,7,6.84,100,fanatics,-78.9,-118,betmgm,-110,betmgm,-122.9,-130,fanatics,2.38,-0.78,False,0,0.0,[2.5],1,2025-10-22,Luka Doncic,Golden State Warriors @ Los Angeles Lakers
0.5,3,7.12,-225,betmgm,-236.7,-250,bovada,185,bovada,171.7,165,williamhill_us,4.32,7.11,False,0,0.0,[1.5],1,2025-10-22,Marcus Smart,Golden State Warriors @ Los Angeles Lakers
2.5,8,7.02,150,bovada,-123.9,-175,betmgm,130,betmgm,81.5,-200,bovada,-16.52,10.43,True,1,16.52,,0,2025-10-22,Michael Porter Jr,Brooklyn Nets @ Charlotte Hornets
2.5,4,7.16,154,fanduel,143.5,130,fanatics,-183,draftkings,-194.8,-210,fanduel,4.03,7.14,False,0,0.0,[1.5],1,2025-10-22,Mikal Bridges,Cleveland Cavaliers @ New York Knicks
2.5,7,7.07,131,draftkings,126.4,120,betrivers,-159,betrivers,-169.6,-175,betmgm,4.68,7.07,False,0,0.0,[1.5],1,2025-10-22,Miles Bridges,Brooklyn Nets @ Charlotte Hornets
1.5,2,7.12,120,fanatics,117.5,115,betmgm,-150,betmgm,-157.5,-165,fanatics,5.45,7.14,False,0,0.0,,0,2025-10-22,Miles McBride,Cleveland Cavaliers @ New York Knicks
1.5,7,6.69,-112,draftkings,-121.4,-135,bovada,105,bovada,-79.4,-115,draftkings,1.61,-0.89,False,0,0.0,,0,2025-10-22,Nickeil Alexander-Walker,Toronto Raptors @ Atlanta Hawks
