game_id,game_time,week,away_abbr,home_abbr,consensus_spread,best_away_spread,best_home_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_covered_consensus,home_covered_consensus,away_current_luck,away_current_off_luck,away_current_def_luck,home_current_luck,home_current_off_luck,home_current_def_luck,away_prior_luck,away_prior_off_luck,away_prior_def_luck,away_prior_week,away_prior_opp,away_prior_score,away_prior_opp_score,away_prior_adj_score,away_prior_opp_adj_score,away_prior_won,home_prior_luck,home_prior_off_luck,home_prior_def_luck,home_prior_week,home_prior_opp,home_prior_score,home_prior_opp_score,home_prior_adj_score,home_prior_opp_adj_score,home_prior_won,away_prior_luck_cat,home_prior_luck_cat,matchup_type
3803dcc2ecfdf66a4fb94c6d44a2aa4f,2022-01-02 18:00:00+00:00,2,NYG,CHI,6.5,7.0,-6.5,6.5,3.5-7,False,True,13.0,17.0,-4.0,True,False,True,False,-11.100000000000001,-12.100000000000001,1.0,11.100000000000001,-1.0,12.100000000000001,-13.299999999999997,-10.399999999999999,-2.8999999999999986,1,DEN,13.0,27.0,23.4,24.1,False,-20.2,-10.2,-10.0,1,LAR,14.0,34.0,24.2,24.0,False,Unlucky,Unlucky,Unlucky vs Unlucky
3856ef255348bc53abe65de9778bc5d1,2021-10-24 17:00:00+00:00,3,CAR,NYG,-3.0,-3.0,3.0,3.0,0-3,True,False,7.0,36.0,-29.0,False,True,False,True,-25.5,-17.6,-7.899999999999999,25.5,7.899999999999999,17.6,5.399999999999999,0.6999999999999993,4.699999999999999,2,NO,26.0,7.0,25.3,11.7,True,3.0,4.300000000000001,-1.3000000000000007,2,WAS,29.0,30.0,24.7,28.7,False,Neutral,Neutral,Neutral vs Neutral
387747ce771389b57ab85665fbe0ac48,2021-12-12 18:00:00+00:00,4,SEA,HOU,-9.5,-9.0,10.0,9.5,7.5+,True,False,23.0,20.0,3.0,False,True,False,True,6.400000000000002,1.1000000000000014,5.300000000000001,-6.400000000000002,-5.300000000000001,-1.1000000000000014,-15.600000000000001,-9.100000000000001,-6.5,3,MIN,17.0,30.0,26.1,23.5,False,-7.600000000000001,-7.100000000000001,-0.5,3,CAR,9.0,24.0,16.1,23.5,False,Unlucky,Unlucky,Unlucky vs Unlucky
3ce88e9103835b61361cce6df95cea10,2021-11-28 18:00:00+00:00,12,TB,IND,-3.0,-2.5,3.0,3.0,0-3,True,False,12.0,25.0,-13.0,False,True,False,True,-13.3,-9.600000000000001,-3.6999999999999993,13.3,3.6999999999999993,9.600000000000001,6.299999999999999,1.1999999999999993,5.1,11,NYG,30.0,10.0,28.8,15.1,True,21.4,13.7,7.699999999999999,11,BUF,41.0,15.0,27.3,22.7,True,Neutral,Lucky,Neutral vs Lucky
3d9220ffe13a2abc39b84b021852f037,2021-09-20 00:20:00+00:00,2,KC,BAL,-3.5,-3.5,4.0,3.5,3.5-7,True,False,35.0,36.0,-1.0,False,True,False,True,0.09999999999999787,4.399999999999999,-4.300000000000001,-0.09999999999999787,4.300000000000001,-4.399999999999999,7.0,6.100000000000001,0.8999999999999986,1,CLE,33.0,29.0,26.9,29.9,True,-0.8999999999999986,2.6000000000000014,-3.5,1,LV,27.0,33.0,24.4,29.5,False,Lucky,Neutral,Lucky vs Neutral
41058173619a6a1c3ab4df1882d86f56,2021-10-31 17:00:00+00:00,2,SF,CHI,-4.5,-4.0,4.5,4.5,3.5-7,True,False,20.0,28.0,-8.0,False,True,False,True,-10.099999999999998,-2.1999999999999993,-7.899999999999999,10.099999999999998,7.899999999999999,2.1999999999999993,4.100000000000001,10.100000000000001,-6.0,1,DET,41.0,33.0,30.9,27.0,True,-20.2,-10.2,-10.0,1,LAR,14.0,34.0,24.2,24.0,False,Neutral,Unlucky,Neutral vs Unlucky
42d9f696dd9159726c0ff6f638847fb1,2021-11-21 18:00:00+00:00,6,DET,CLE,13.0,13.5,-12.5,13.0,7.5+,False,True,31.0,17.0,14.0,True,False,True,False,12.5,2.8000000000000007,9.7,-12.5,-9.7,-2.8000000000000007,-0.6000000000000014,-1.6000000000000014,1.0,5,MIN,17.0,19.0,18.6,20.0,False,-4.099999999999998,12.600000000000001,-16.7,5,LAC,42.0,47.0,29.4,30.3,False,Neutral,Neutral,Neutral vs Neutral
444eae63e7d38f48f5e5a92768c997fb,2021-12-12 18:00:00+00:00,2,LV,KC,9.5,10.0,-9.5,9.5,7.5+,False,True,10.0,28.0,-18.0,False,True,False,True,-12.599999999999998,-10.899999999999999,-1.6999999999999993,12.599999999999998,1.6999999999999993,10.899999999999999,0.8999999999999986,3.5,-2.6000000000000014,1,BAL,33.0,27.0,29.5,24.4,True,7.0,6.100000000000001,0.8999999999999986,1,CLE,33.0,29.0,26.9,29.9,True,Neutral,Lucky,Neutral vs Lucky
44694e6293010b0b9f85d557a8b7c644,2022-01-08 21:30:00+00:00,2,KC,DEN,-10.5,-10.5,11.0,10.5,7.5+,True,False,17.0,24.0,-7.0,False,True,False,True,-3.3000000000000007,-3.0,-0.3000000000000007,3.3000000000000007,0.3000000000000007,3.0,7.0,6.100000000000001,0.8999999999999986,1,CLE,33.0,29.0,26.9,29.9,True,13.299999999999997,2.8999999999999986,10.399999999999999,1,NYG,27.0,13.0,24.1,23.4,True,Lucky,Lucky,Lucky vs Lucky
449300673ee21fa97a88d63f0e5c0124,2021-11-28 21:25:00+00:00,5,LAR,GB,-2.0,-1.0,2.5,2.0,0-3,True,False,10.0,24.0,-14.0,False,True,False,True,-11.899999999999999,-6.5,-5.399999999999999,11.899999999999999,5.399999999999999,6.5,-16.3,-10.600000000000001,-5.699999999999999,4,ARI,20.0,37.0,30.6,31.3,False,0.8000000000000007,-0.6999999999999993,1.5,4,PIT,27.0,17.0,27.7,18.5,True,Unlucky,Neutral,Unlucky vs Neutral
