player,player_display,game,game_time,line,under_odds,over_odds,under_book,over_book,num_bookmakers,has_underdog_under,has_hot_streak,qualifies,disqualify_reason,implied_probability,bet_amount,potential_profit,streak_length,streak_makes,streak_attempts,streak_dates,avg_3pm_streak,avg_3pa_streak,predicted_3pm,prediction_signal,overperformance,regression_signal,prob_under,breakeven_prob,binomial_signal,signal_count,backtest_stats,play
Cole Anthony,Cole Anthony,Portland Trail Blazers @ Milwaukee Bucks,2025-11-25T01:10:00Z,0.5,140,-190,betmgm,fanatics,2,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Collin Gillespie,Collin Gillespie,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,2.5,110,-120,betrivers,bovada,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Collin Gillespie,Collin Gillespie,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,3.5,-290,210,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Collin Murray-Boyles,Collin Murray-Boyles,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,0.5,-160,120,betmgm,fanatics,2,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Cooper Flagg,Cooper Flagg,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,1.5,-170,141,bovada,betonlineag,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
D'Angelo Russell,D'Angelo Russell,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,1.5,130,-135,betmgm,draftkings,7,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
D'Angelo Russell,D'Angelo Russell,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,2.5,-290,210,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Day'Ron Sharpe,Day'Ron Sharpe,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,0.5,-500,325,betmgm,betmgm,2,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
De'Andre Hunter,De'Andre Hunter,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,1.5,200,-275,bovada,bovada,1,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
De'Andre Hunter,De'Andre Hunter,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,2.5,-120,115,betmgm,bovada,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Demar Derozan,DeMar DeRozan,Minnesota Timberwolves @ Sacramento Kings,2025-11-25T03:10:00Z,0.5,120,-160,betmgm,betmgm,2,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Dean Wade,Dean Wade,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,1.5,-185,190,betmgm,bovada,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Deni Avdija,Deni Avdija,Portland Trail Blazers @ Milwaukee Bucks,2025-11-25T01:10:00Z,2.5,-138,125,fanduel,bovada,8,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Dennis Schroder,Dennis Schroder,Minnesota Timberwolves @ Sacramento Kings,2025-11-25T03:10:00Z,1.5,-140,120,betmgm,bovada,7,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Derik Queen,Derik Queen,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,0.5,-218,171,williamhill_us,betonlineag,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Devin Booker,Devin Booker,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,1.5,150,-190,bovada,betmgm,3,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Devin Booker,Devin Booker,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,2.5,-190,150,fanatics,bovada,6,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Dillon Brooks,Dillon Brooks,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,3.5,-177,160,betrivers,bovada,2,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Donovan Clingan,Donovan Clingan,Portland Trail Blazers @ Milwaukee Bucks,2025-11-25T01:10:00Z,0.5,110,-130,betmgm,fanatics,2,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Donovan Mitchell,Donovan Mitchell,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,4.5,-230,170,bovada,bovada,1,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Donte Divincenzo,Donte DiVincenzo,Minnesota Timberwolves @ Sacramento Kings,2025-11-25T03:10:00Z,2.5,145,-160,bovada,fanatics,4,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Donte Divincenzo,Donte DiVincenzo,Minnesota Timberwolves @ Sacramento Kings,2025-11-25T03:10:00Z,3.5,-170,138,bovada,fanduel,5,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Drake Powell,Drake Powell,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,0.5,-110,-115,betmgm,fanatics,2,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Draymond Green,Draymond Green,Utah Jazz @ Golden State Warriors,2025-11-25T03:10:00Z,1.5,-130,120,bovada,betrivers,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Duncan Robinson,Duncan Robinson,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,2.5,-120,120,bovada,fanduel,8,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Egor Demin,Egor Demin,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,1.5,125,-130,bovada,fanduel,7,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Egor Demin,Egor Demin,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,2.5,-250,185,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Evan Mobley,Evan Mobley,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,1.5,-190,163,betmgm,betrivers,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Gary Trent Jr,Gary Trent Jr,Portland Trail Blazers @ Milwaukee Bucks,2025-11-25T01:10:00Z,2.5,-119,-105,betonlineag,fanatics,5,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Gradey Dick,Gradey Dick,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,1.5,-130,105,bovada,fanatics,5,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Grayson Allen,Grayson Allen,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,2.5,165,-220,bovada,bovada,1,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Grayson Allen,Grayson Allen,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,3.5,-140,115,fanatics,bovada,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Immanuel Quickley,Immanuel Quickley,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,2.5,-110,102,bovada,betrivers,8,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Isaiah Collier,Isaiah Collier,Utah Jazz @ Golden State Warriors,2025-11-25T03:10:00Z,0.5,-200,160,betonlineag,betmgm,3,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Isaiah Stewart,Isaiah Stewart II,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,0.5,100,-125,betmgm,fanatics,3,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Ja'Kobe Walter,Ja'Kobe Walter,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,1.5,-190,145,fanatics,bovada,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jabari Smith Jr,Jabari Smith Jr,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,1.5,175,-187,bovada,draftkings,5,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jabari Smith Jr,Jabari Smith Jr,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,2.5,-160,141,betmgm,betonlineag,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jaden Ivey,Jaden Ivey,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,1.5,-245,180,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jaden Mcdaniels,Jaden McDaniels,Minnesota Timberwolves @ Sacramento Kings,2025-11-25T03:10:00Z,1.5,-170,141,bovada,betonlineag,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jaime Jaquez Jr,Jaime Jaquez Jr,Dallas Mavericks @ Miami Heat,2025-11-25T00:40:00Z,0.5,-190,145,fanatics,betmgm,2,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jalen Brunson,Jalen Brunson,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,2.5,-109,100,betrivers,betmgm,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jamal Murray,Jamal Murray,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,2.5,118,-126,betrivers,draftkings,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jamal Murray,Jamal Murray,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,3.5,-245,180,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jamal Shead,Jamal Shead,Cleveland Cavaliers @ Toronto Raptors,2025-11-25T00:10:00Z,1.5,-205,161,williamhill_us,betonlineag,5,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jarace Walker,Jarace Walker,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,0.5,200,-275,bovada,bovada,1,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jarace Walker,Jarace Walker,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,1.5,-220,174,betmgm,betonlineag,5,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jaren Jackson Jr,Jaren Jackson Jr,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,1.5,118,-135,fanduel,bovada,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jay Huff,Jay Huff,Detroit Pistons @ Indiana Pacers,2025-11-25T00:10:00Z,1.5,-160,120,betmgm,williamhill_us,4,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jaylen Wells,Jaylen Wells,Denver Nuggets @ Memphis Grizzlies,2025-11-25T01:10:00Z,1.5,100,-115,fanduel,betmgm,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jerami Grant,Jerami Grant,Portland Trail Blazers @ Milwaukee Bucks,2025-11-25T01:10:00Z,2.5,-155,124,betmgm,betonlineag,5,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jeremiah Fears,Jeremiah Fears,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,0.5,215,-300,bovada,bovada,1,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jeremiah Fears,Jeremiah Fears,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,1.5,-200,172,betmgm,draftkings,7,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jimmy Butler,Jimmy Butler,Utah Jazz @ Golden State Warriors,2025-11-25T03:10:00Z,0.5,125,-150,betonlineag,betmgm,3,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jordan Clarkson,Jordan Clarkson,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,1.5,123,-150,williamhill_us,fanatics,7,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jordan Clarkson,Jordan Clarkson,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,2.5,-260,190,bovada,bovada,1,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Jordan Hawkins,Jordan Hawkins,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,0.5,160,-275,fanatics,fanatics,1,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jose Alvarado,Jose Alvarado,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,1.5,-210,174,betmgm,betonlineag,5,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Josh Giddey,Josh Giddey,Chicago Bulls @ New Orleans Pelicans,2025-11-25T01:10:00Z,1.5,-125,108,fanatics,fanduel,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Josh Hart,Josh Hart,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,1.5,-190,168,bovada,fanduel,6,False,True,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Josh Okogie,Josh Okogie,Houston Rockets @ Phoenix Suns,2025-11-25T02:40:00Z,1.5,-160,138,betmgm,fanduel,8,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Julius Randle,Julius Randle,Minnesota Timberwolves @ Sacramento Kings,2025-11-25T03:10:00Z,1.5,105,-110,bovada,betmgm,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
Jusuf Nurkic,Jusuf Nurkic,Utah Jazz @ Golden State Warriors,2025-11-25T03:10:00Z,0.5,-169,145,betonlineag,betmgm,3,False,False,False,Under not underdog,,,,,,,,,,,False,,False,,,False,0,,False
Karl-Anthony Towns,Karl-Anthony Towns,New York Knicks @ Brooklyn Nets,2025-11-25T00:40:00Z,1.5,150,-175,bovada,fanatics,8,True,False,False,No hot streak,,,,,,,,,,,False,,False,,,False,0,,False
