player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Nicolas Batum,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,150,-200
Bogdan Bogdanovic,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,-150,110
James Harden,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,3.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,115,-155
Anthony Black,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,180,-250
Kris Dunn,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,0.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,-175,135
Desmond Bane,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,105,-145
Franz Wagner,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,-135,100
John Collins,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,0.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,-235,175
Jalen Suggs,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,145,-190
Tristan da Silva,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,145,-200
Brook Lopez,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,0.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:23Z,-190,145
Anthony Black,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,0.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,190,-260
Bogdan Bogdanovic,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,190,-260
Desmond Bane,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,110,-145
Franz Wagner,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,190,-260
Jalen Suggs,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,130,-170
James Harden,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,2.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,120,-160
Nicolas Batum,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,130,-170
Tristan da Silva,Los Angeles Clippers @ Orlando Magic,2025-11-21T00:10:00Z,player_threes,1.5,bovada,2025-11-20T14:55:05Z,2025-11-20T14:55:19Z,155,-210
Jalen Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,124,-166
Onyeka Okongwu,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,-122,-108
Julian Champagnie,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,110,-146
Devin Vassell,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,110,-146
Zaccharie Risacher,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,-132,100
Kristaps Porzingis,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,-122,-108
De'Aaron Fox,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,124,-166
Harrison Barnes,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,110,-146
Nickeil Alexander-Walker,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanduel,2025-11-20T14:52:25Z,2025-11-20T14:55:07Z,116,-154
Nickeil Alexander-Walker,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,115,-150
Kristaps Porzingis,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,-125,-105
Onyeka Okongwu,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,-125,-105
Zaccharie Risacher,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,-115,-115
Julian Champagnie,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,105,-140
Devin Vassell,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,105,-140
De'Aaron Fox,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,110,-145
Harrison Barnes,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,105,-140
Keldon Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,135,-210
Jalen Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,120,-165
Kelly Olynyk,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,0.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,-115,-115
Jeremy Sochan,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,0.5,fanatics,2025-11-20T14:55:29Z,2025-11-20T14:56:01Z,-165,120
Zaccharie Risacher,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,-129,-104
Nickeil Alexander-Walker,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,114,-152
Kristaps Porzingis,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,-134,100
Julian Champagnie,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,133,-180
