sport,bookmaker,team,odds
NBA,betrivers,New York Knicks,1200
NBA,betrivers,Los Angeles Lakers,1400
NBA,betrivers,Cleveland Cavaliers,2000
NBA,betrivers,Detroit Pistons,2500
NBA,betrivers,San Antonio Spurs,2500
NBA,betrivers,Boston Celtics,3000
NBA,betrivers,Golden State Warriors,3000
NBA,betrivers,Minnesota Timberwolves,3000
NBA,betrivers,Orlando Magic,3000
NBA,betrivers,Atlanta Hawks,6000
NBA,betrivers,Miami Heat,6000
NBA,betrivers,Philadelphia 76ers,8000
NBA,betrivers,Toronto Raptors,10000
NBA,betrivers,Los Angeles Clippers,15000
NBA,betrivers,Dallas Mavericks,25000
NBA,betrivers,Chicago Bulls,50000
NBA,betrivers,Milwaukee Bucks,50000
NBA,betrivers,Brooklyn Nets,100000
NBA,betrivers,Charlotte Hornets,100000
NBA,betrivers,Indiana Pacers,100000
NBA,betrivers,Memphis Grizzlies,100000
NBA,betrivers,New Orleans Pelicans,100000
NBA,betrivers,Phoenix Suns,100000
NBA,betrivers,Portland Trail Blazers,100000
NBA,betrivers,Sacramento Kings,100000
NBA,betrivers,Utah Jazz,100000
NBA,betrivers,Washington Wizards,100000
NBA,betonlineag,Oklahoma City Thunder,100
NBA,betonlineag,Denver Nuggets,750
NBA,betonlineag,Houston Rockets,1200
NBA,betonlineag,Los Angeles Lakers,1200
NBA,betonlineag,New York Knicks,1200
NBA,betonlineag,San Antonio Spurs,1400
NBA,betonlineag,Cleveland Cavaliers,2000
NBA,betonlineag,Golden State Warriors,2200
NBA,betonlineag,Detroit Pistons,2500
NBA,betonlineag,Boston Celtics,2800
NBA,betonlineag,Orlando Magic,2800
NBA,betonlineag,Minnesota Timberwolves,3300
NBA,betonlineag,Atlanta Hawks,4000
NBA,betonlineag,Miami Heat,4500
NBA,betonlineag,Philadelphia 76ers,6000
NBA,betonlineag,Toronto Raptors,6600
NBA,betonlineag,Los Angeles Clippers,8000
NBA,betonlineag,Milwaukee Bucks,15000
NBA,betonlineag,Chicago Bulls,20000
NBA,betonlineag,Dallas Mavericks,20000
NBA,betonlineag,Phoenix Suns,40000
NBA,betonlineag,Portland Trail Blazers,50000
NBA,betonlineag,Charlotte Hornets,100000
NBA,betonlineag,Indiana Pacers,100000
NBA,betonlineag,Memphis Grizzlies,100000
NBA,betonlineag,Sacramento Kings,100000
NBA,betonlineag,Utah Jazz,100000
NBA,betonlineag,New Orleans Pelicans,150000
NBA,betonlineag,Washington Wizards,150000
NBA,betonlineag,Brooklyn Nets,200000
NBA,betmgm,Oklahoma City Thunder,115
NBA,betmgm,Denver Nuggets,700
NBA,betmgm,Houston Rockets,1100
NBA,betmgm,New York Knicks,1300
NBA,betmgm,Los Angeles Lakers,1400
NBA,betmgm,Cleveland Cavaliers,1800
NBA,betmgm,San Antonio Spurs,2200
NBA,betmgm,Detroit Pistons,2500
NBA,betmgm,Boston Celtics,3000
NBA,betmgm,Golden State Warriors,3000
NBA,betmgm,Minnesota Timberwolves,3000
NBA,betmgm,Orlando Magic,3500
NBA,betmgm,Atlanta Hawks,6600
NBA,betmgm,Miami Heat,6600
NBA,betmgm,Philadelphia 76ers,6600
NBA,betmgm,Toronto Raptors,10000
NBA,betmgm,Los Angeles Clippers,10000
NBA,betmgm,Chicago Bulls,30000
NBA,betmgm,Milwaukee Bucks,30000
NBA,betmgm,Dallas Mavericks,30000
NBA,betmgm,Phoenix Suns,30000
NBA,betmgm,Brooklyn Nets,100000
NBA,betmgm,Charlotte Hornets,100000
NBA,betmgm,Indiana Pacers,100000
NBA,betmgm,Washington Wizards,100000
NBA,betmgm,Memphis Grizzlies,100000
NBA,betmgm,New Orleans Pelicans,100000
NBA,betmgm,Portland Trail Blazers,100000
NBA,betmgm,Sacramento Kings,100000
NBA,betmgm,Utah Jazz,100000
