week,game_date,game_type,team,opponent,is_home,broadcast,days_rest,opp_days_rest,rest_edge,short_week_road,post_road_prime,opp_extra_prep,had_bye,negated_bye,in_3_in_10,in_4_in_17
1,2026-09-13,REG,BAL,IND,False,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,BAL,NO,True,CBS,6,6,0,False,False,False,False,False,False,False
3,2026-09-27,REG,BAL,DAL,False,CBS,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,REG,BAL,TEN,True,CBS,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,SNF,BAL,ATL,False,NBC,6,5,1,False,False,False,False,False,False,False
6,2026-10-18,REG,BAL,CLE,False,FOX,6,6,0,False,True,False,False,False,False,False
7,2026-10-25,REG,BAL,CIN,True,CBS,6,13,-7,False,False,True,False,False,False,False
8,2026-11-01,REG,BAL,BUF,False,CBS,6,13,-7,False,False,True,False,False,False,False
9,2026-11-05,TNF,BAL,JAX,True,Prime Video,3,3,0,False,False,False,False,False,False,False
10,2026-11-16,MNF,BAL,LAC,True,ESPN,10,7,3,False,False,True,False,False,False,False
11,2026-11-22,REG,BAL,CAR,False,FOX,5,6,-1,True,False,False,False,False,False,False
12,2026-11-29,REG,BAL,HOU,False,CBS,6,9,-3,False,False,True,False,False,False,False
14,2026-12-13,REG,BAL,TB,True,FOX,13,6,7,False,False,False,True,False,False,False
15,2026-12-20,REG,BAL,PIT,False,CBS,6,5,1,False,False,False,False,False,False,False
16,2026-12-27,REG,BAL,CLE,True,CBS,6,6,0,False,False,False,False,False,False,False
17,2026-12-31,TNF,BAL,CIN,False,Prime Video,3,3,0,True,False,False,False,False,False,False
18,2027-01-10,REG,BAL,PIT,True,,9,6,3,False,False,False,False,False,False,False
1,2026-09-13,REG,BUF,HOU,False,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-17,TNF,BUF,DET,True,Prime Video,3,3,0,False,False,False,False,False,False,False
3,2026-09-27,REG,BUF,LAC,True,FOX,9,6,3,False,False,False,False,False,False,False
4,2026-10-04,REG,BUF,NE,True,CBS,6,6,0,False,False,False,False,False,False,False
5,2026-10-12,MNF,BUF,LAR,False,"ESPN,ABC",7,7,0,False,False,True,False,False,False,False
6,2026-10-18,REG,BUF,LV,False,CBS,5,6,-1,True,True,False,False,False,False,False
8,2026-11-01,REG,BUF,BAL,True,CBS,13,6,7,False,False,False,True,False,False,False
9,2026-11-09,MNF,BUF,MIN,False,"ESPN,ABC",7,7,0,False,False,True,False,False,False,True
10,2026-11-15,REG,BUF,NYJ,False,CBS,5,6,-1,True,True,False,False,False,False,True
11,2026-11-22,REG,BUF,MIA,True,FOX,6,6,0,False,False,False,False,False,False,True
12,2026-11-26,TNF,BUF,KC,True,NBC,3,3,0,False,False,False,False,False,False,True
13,2026-12-06,REG,BUF,NE,False,CBS,9,6,3,False,False,False,False,False,False,False
14,2026-12-13,SNF,BUF,GB,False,NBC,6,6,0,False,False,False,False,False,False,False
15,2026-12-19,SAT,BUF,CHI,True,CBS,5,5,0,False,True,False,False,False,False,False
16,2026-12-25,FRI,BUF,DEN,False,Netflix,5,4,1,True,False,False,False,False,False,False
17,2027-01-03,REG,BUF,MIA,False,CBS,8,6,2,False,False,False,False,False,False,False
18,2027-01-10,REG,BUF,NYJ,True,,6,6,0,False,False,False,False,False,False,False
1,2026-09-13,REG,CAR,CHI,True,FOX,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,CAR,ATL,False,FOX,6,6,0,False,False,False,False,False,False,False
3,2026-09-27,REG,CAR,CLE,False,FOX,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,SNF,CAR,DET,True,NBC,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,REG,CAR,PHI,False,CBS,13,6,7,False,False,False,True,False,False,False
7,2026-10-25,REG,CAR,TB,True,FOX,6,6,0,False,False,False,False,False,False,False
8,2026-10-29,TNF,CAR,GB,False,Prime Video,3,3,0,True,False,False,False,False,False,False
9,2026-11-08,REG,CAR,DEN,True,CBS,9,6,3,False,False,False,False,False,False,False
10,2026-11-15,REG,CAR,NO,False,FOX,6,6,0,False,False,False,False,False,False,False
11,2026-11-22,REG,CAR,BAL,True,FOX,6,5,1,False,False,False,False,False,False,False
12,2026-11-30,MNF,CAR,TB,False,ESPN,7,7,0,False,False,True,False,False,False,False
13,2026-12-06,REG,CAR,MIN,False,CBS,5,6,-1,True,True,False,False,False,False,False
14,2026-12-13,REG,CAR,NO,True,CBS,6,6,0,False,False,False,False,False,False,False
15,2026-12-20,REG,CAR,CIN,True,FOX,6,6,0,False,False,False,False,False,False,False
16,2026-12-27,REG,CAR,PIT,False,,6,6,0,False,False,False,False,False,False,False
17,2027-01-03,REG,CAR,SEA,True,FOX,6,8,-2,False,False,True,False,False,False,False
18,2027-01-10,REG,CAR,ATL,True,,6,6,0,False,False,False,False,False,False,False
1,2026-09-13,REG,CHI,CAR,False,FOX,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,CHI,MIN,True,FOX,6,6,0,False,False,False,False,False,False,False
3,2026-09-28,MNF,CHI,PHI,True,"ESPN,ABC",7,7,0,False,False,True,False,False,False,False
4,2026-10-04,REG,CHI,NYJ,True,FOX,5,6,-1,False,False,False,False,False,False,False
5,2026-10-11,REG,CHI,GB,False,FOX,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,REG,CHI,ATL,False,FOX,6,6,0,False,False,False,False,False,False,False
7,2026-10-22,TNF,CHI,NE,True,Prime Video,3,3,0,False,False,False,False,False,False,False
8,2026-11-02,MNF,CHI,SEA,False,ESPN,10,7,3,False,False,True,False,False,False,False
9,2026-11-08,SNF,CHI,TB,True,NBC,5,6,-1,False,True,False,False,False,False,False
11,2026-11-22,REG,CHI,NO,True,FOX,13,6,7,False,False,False,True,False,False,False
12,2026-11-26,TNF,CHI,DET,False,CBS,3,3,0,True,False,False,False,False,False,False
13,2026-12-06,REG,CHI,JAX,True,FOX,9,6,3,False,False,False,False,False,False,False
14,2026-12-13,REG,CHI,MIA,False,CBS,6,6,0,False,False,False,False,False,False,False
15,2026-12-19,SAT,CHI,BUF,False,CBS,5,5,0,True,False,False,False,False,False,False
16,2026-12-25,FRI,CHI,GB,True,Netflix,5,4,1,False,False,False,False,False,False,False
17,2027-01-03,REG,CHI,DET,True,FOX,8,5,3,False,False,False,False,False,False,False
18,2027-01-10,REG,CHI,MIN,False,,6,6,0,False,False,False,False,False,False,False
1,2026-09-13,REG,CIN,TB,True,FOX,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,CIN,HOU,False,CBS,6,6,0,False,False,False,False,False,False,False
3,2026-09-27,REG,CIN,PIT,False,CBS,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,REG,CIN,JAX,True,CBS,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,CIN,MIA,False,FOX,6,6,0,False,False,False,False,False,False,False
7,2026-10-25,REG,CIN,BAL,False,CBS,13,6,7,False,False,False,True,False,False,False
8,2026-11-01,REG,CIN,TEN,True,CBS,6,6,0,False,False,False,False,False,False,False
9,2026-11-08,REG,CIN,ATL,False,NFL Net,6,6,0,False,False,False,False,False,False,False
10,2026-11-15,SNF,CIN,PIT,True,NBC,6,13,-7,False,False,True,False,False,False,False
11,2026-11-23,MNF,CIN,WAS,False,ESPN,7,10,-3,False,False,True,False,False,False,False
12,2026-11-29,REG,CIN,NO,True,CBS,5,6,-1,False,True,False,False,False,False,False
13,2026-12-06,REG,CIN,CLE,False,CBS,6,6,0,False,False,False,False,False,False,False
14,2026-12-13,REG,CIN,KC,True,FOX,6,9,-3,False,False,True,False,False,False,False
15,2026-12-20,REG,CIN,CAR,False,FOX,6,6,0,False,False,False,False,False,False,False
16,2026-12-27,REG,CIN,IND,False,,6,6,0,False,False,False,False,False,False,False
17,2026-12-31,TNF,CIN,BAL,True,Prime Video,3,3,0,False,False,False,False,False,False,False
18,2027-01-10,REG,CIN,CLE,True,,9,6,3,False,False,False,False,False,False,False
1,2026-09-13,REG,CLE,JAX,False,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,CLE,TB,False,CBS,6,6,0,False,False,False,False,False,False,False
3,2026-09-27,REG,CLE,CAR,True,FOX,6,6,0,False,False,False,False,False,False,False
4,2026-10-01,TNF,CLE,PIT,True,Prime Video,3,3,0,False,False,False,False,False,False,False
5,2026-10-11,REG,CLE,NYJ,False,CBS,9,6,3,False,False,False,False,False,False,False
6,2026-10-18,REG,CLE,BAL,True,FOX,6,6,0,False,False,False,False,False,False,False
7,2026-10-25,REG,CLE,TEN,False,CBS,6,6,0,False,False,False,False,False,False,False
8,2026-11-01,REG,CLE,PIT,False,CBS,6,6,0,False,False,False,False,False,False,False
9,2026-11-08,REG,CLE,NO,False,CBS,6,13,-7,False,False,True,False,False,False,False
10,2026-11-15,REG,CLE,HOU,True,FOX,6,6,0,False,False,False,False,False,False,False
12,2026-11-29,REG,CLE,LV,True,FOX,13,6,7,False,False,False,True,False,False,False
13,2026-12-06,REG,CLE,CIN,True,CBS,6,6,0,False,False,False,False,False,False,False
14,2026-12-13,REG,CLE,ATL,True,CBS,6,6,0,False,False,False,False,False,False,False
15,2026-12-20,REG,CLE,NYG,False,CBS,6,6,0,False,False,False,False,False,False,False
16,2026-12-27,REG,CLE,BAL,False,CBS,6,6,0,False,False,False,False,False,False,False
17,2027-01-03,REG,CLE,IND,True,FOX,6,6,0,False,False,False,False,False,False,False
18,2027-01-10,REG,CLE,CIN,False,,6,9,-3,False,False,True,False,False,False,False
1,2026-09-13,SNF,DAL,NYG,False,NBC,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,DAL,WAS,True,FOX,6,6,0,False,True,False,False,False,False,False
3,2026-09-27,REG,DAL,BAL,True,CBS,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,REG,DAL,HOU,False,FOX,6,6,0,False,False,False,False,False,False,False
5,2026-10-08,TNF,DAL,TB,True,Prime Video,3,3,0,False,False,False,False,False,False,False
6,2026-10-18,SNF,DAL,GB,False,NBC,9,6,3,False,False,False,False,False,False,False
7,2026-10-26,MNF,DAL,PHI,False,"ESPN,ABC",7,7,0,False,True,True,False,False,False,False
8,2026-11-01,REG,DAL,ARI,True,FOX,5,6,-1,False,True,False,False,False,False,False
9,2026-11-08,REG,DAL,IND,False,FOX,6,6,0,False,False,False,False,False,False,False
10,2026-11-15,REG,DAL,SF,True,FOX,6,6,0,False,False,False,False,False,False,False
11,2026-11-22,REG,DAL,TEN,True,FOX,6,6,0,False,False,False,False,False,False,False
12,2026-11-26,TNF,DAL,PHI,True,FOX,3,3,0,False,False,False,False,False,False,False
13,2026-12-07,MNF,DAL,SEA,False,"ESPN,ABC",10,7,3,False,False,True,False,False,False,False
15,2026-12-20,REG,DAL,LAR,False,CBS,12,6,6,False,True,False,True,False,False,False
16,2026-12-27,SNF,DAL,JAX,True,NBC,6,6,0,False,False,False,False,False,False,False
17,2027-01-03,REG,DAL,NYG,True,FOX,6,5,1,False,False,False,False,False,False,False
18,2027-01-10,REG,DAL,WAS,False,,6,6,0,False,False,False,False,False,False,False
1,2026-09-14,MNF,DEN,KC,False,"ESPN,ABC",6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,DEN,JAX,True,CBS,5,6,-1,False,True,False,False,False,False,False
3,2026-09-27,SNF,DEN,LAR,True,NBC,6,5,1,False,False,False,False,False,False,False
4,2026-10-04,REG,DEN,SF,False,CBS,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,DEN,LAC,False,CBS,6,6,0,False,False,False,False,False,False,False
6,2026-10-15,TNF,DEN,SEA,True,Prime Video,3,3,0,False,False,False,False,False,False,False
7,2026-10-25,REG,DEN,ARI,False,CBS,9,6,3,False,False,False,False,False,False,False
8,2026-11-01,REG,DEN,KC,True,CBS,6,6,0,False,False,False,False,False,False,False
9,2026-11-08,REG,DEN,CAR,False,CBS,6,9,-3,False,False,True,False,False,False,False
11,2026-11-22,REG,DEN,LV,True,CBS,13,6,7,False,False,False,True,False,False,False
12,2026-11-27,FRI,DEN,PIT,False,Prime Video,4,4,0,True,False,False,False,False,False,False
13,2026-12-06,REG,DEN,MIA,True,FOX,8,6,2,False,False,False,False,False,False,False
14,2026-12-13,REG,DEN,NYJ,False,CBS,6,13,-7,False,False,True,False,False,False,False
15,2026-12-20,REG,DEN,LV,False,CBS,6,6,0,False,False,False,False,False,False,False
16,2026-12-25,FRI,DEN,BUF,True,Netflix,4,5,-1,False,False,False,False,False,False,False
17,2027-01-03,REG,DEN,NE,False,,8,6,2,False,False,False,False,False,False,False
18,2027-01-10,REG,DEN,LAC,True,,6,6,0,False,False,False,False,False,False,False
1,2026-09-13,REG,DET,NO,True,FOX,6,6,0,False,False,False,False,False,False,False
2,2026-09-17,TNF,DET,BUF,False,Prime Video,3,3,0,True,False,False,False,False,False,False
3,2026-09-27,REG,DET,NYJ,True,FOX,9,6,3,False,False,False,False,False,False,False
4,2026-10-04,SNF,DET,CAR,False,NBC,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,DET,ARI,False,FOX,6,6,0,False,True,False,False,False,False,False
7,2026-10-25,REG,DET,GB,True,FOX,13,6,7,False,False,False,True,False,False,False
8,2026-11-01,REG,DET,MIN,True,FOX,6,6,0,False,False,False,False,False,False,False
9,2026-11-08,REG,DET,MIA,False,FOX,6,6,0,False,False,False,False,False,False,False
10,2026-11-15,REG,DET,NE,True,FOX,6,6,0,False,False,False,False,False,False,False
11,2026-11-22,REG,DET,TB,True,CBS,6,13,-7,False,False,True,False,False,False,False
12,2026-11-26,TNF,DET,CHI,True,CBS,3,3,0,False,False,False,False,False,False,False
13,2026-12-06,REG,DET,ATL,False,CBS,9,6,3,False,False,False,False,False,False,False
14,2026-12-13,REG,DET,TEN,True,FOX,6,6,0,False,False,False,False,False,False,False
15,2026-12-20,SNF,DET,MIN,False,NBC,6,9,-3,False,False,True,False,False,False,False
16,2026-12-28,MNF,DET,NYG,True,ESPN,7,7,0,False,True,True,False,False,False,False
17,2027-01-03,REG,DET,CHI,False,FOX,5,8,-3,True,False,True,False,False,False,False
18,2027-01-10,REG,DET,GB,False,,6,5,1,False,False,False,False,False,False,False
1,2026-09-13,REG,GB,MIN,False,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,GB,NYJ,False,FOX,6,6,0,False,False,False,False,False,False,False
3,2026-09-24,TNF,GB,ATL,True,Prime Video,3,3,0,False,False,False,False,False,False,False
4,2026-10-04,REG,GB,TB,False,FOX,9,6,3,False,False,False,False,False,False,False
5,2026-10-11,REG,GB,CHI,True,FOX,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,SNF,GB,DAL,True,NBC,6,9,-3,False,False,True,False,False,False,False
7,2026-10-25,REG,GB,DET,False,FOX,6,13,-7,False,False,True,False,False,False,False
8,2026-10-29,TNF,GB,CAR,True,Prime Video,3,3,0,False,False,False,False,False,False,False
9,2026-11-08,REG,GB,NE,False,FOX,9,6,3,False,False,False,False,False,False,False
10,2026-11-15,REG,GB,MIN,True,FOX,6,5,1,False,False,False,False,False,False,False
12,2026-11-25,WED,GB,LAR,False,Netflix,9,9,0,False,False,True,True,True,False,False
13,2026-12-06,REG,GB,NO,False,FOX,10,6,4,False,False,False,False,False,False,False
14,2026-12-13,SNF,GB,BUF,True,NBC,6,6,0,False,False,False,False,False,False,False
15,2026-12-20,REG,GB,MIA,True,FOX,6,6,0,False,False,False,False,False,False,False
16,2026-12-25,FRI,GB,CHI,False,Netflix,4,5,-1,True,False,False,False,False,False,False
17,2027-01-04,MNF,GB,HOU,True,ESPN,9,10,-1,False,False,True,False,False,False,False
18,2027-01-10,REG,GB,DET,True,,5,6,-1,False,False,False,False,False,False,False
1,2026-09-13,REG,HOU,BUF,True,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,HOU,CIN,True,CBS,6,6,0,False,False,False,False,False,False,False
3,2026-09-27,REG,HOU,IND,False,CBS,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,REG,HOU,DAL,True,FOX,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,HOU,TEN,False,CBS,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,REG,HOU,JAX,False,NFL Net,6,6,0,False,False,False,False,False,False,False
7,2026-10-25,REG,HOU,NYG,True,FOX,6,6,0,False,False,False,False,False,False,False
9,2026-11-08,REG,HOU,LAC,False,CBS,13,6,7,False,False,False,True,False,False,False
10,2026-11-15,REG,HOU,CLE,False,FOX,6,6,0,False,False,False,False,False,False,False
11,2026-11-19,TNF,HOU,IND,True,Prime Video,3,3,0,False,False,False,False,False,False,False
12,2026-11-29,REG,HOU,BAL,True,CBS,9,6,3,False,False,False,False,False,False,False
13,2026-12-06,SNF,HOU,PIT,False,NBC,6,8,-2,False,False,True,False,False,False,False
14,2026-12-13,REG,HOU,WAS,False,CBS,6,6,0,False,True,False,False,False,False,False
15,2026-12-20,REG,HOU,JAX,True,CBS,6,5,1,False,False,False,False,False,False,False
16,2026-12-24,TNF,HOU,PHI,False,Prime Video,3,4,-1,True,False,False,False,False,False,False
17,2027-01-04,MNF,HOU,GB,False,ESPN,10,9,1,False,False,True,False,False,False,False
18,2027-01-10,REG,HOU,TEN,True,,5,6,-1,False,True,False,False,False,False,False
1,2026-09-13,REG,IND,BAL,True,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,SNF,IND,KC,False,NBC,6,5,1,False,False,False,False,False,False,False
3,2026-09-27,REG,IND,HOU,True,CBS,6,6,0,False,True,False,False,False,False,False
4,2026-10-04,REG,IND,WAS,False,NFL Net,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,IND,PIT,False,CBS,6,9,-3,False,False,True,False,False,False,False
6,2026-10-18,REG,IND,TEN,True,FOX,6,6,0,False,False,False,False,False,False,False
7,2026-10-25,REG,IND,MIN,False,CBS,6,13,-7,False,False,True,False,False,False,False
8,2026-11-01,REG,IND,JAX,False,CBS,6,13,-7,False,False,True,False,False,False,False
9,2026-11-08,REG,IND,DAL,True,FOX,6,6,0,False,False,False,False,False,False,False
10,2026-11-15,REG,IND,MIA,True,CBS,6,6,0,False,False,False,False,False,False,False
11,2026-11-19,TNF,IND,HOU,False,Prime Video,3,3,0,True,False,False,False,False,False,False
12,2026-11-29,REG,IND,NYG,True,FOX,9,6,3,False,False,False,False,False,False,False
14,2026-12-13,REG,IND,PHI,False,FOX,13,6,7,False,False,False,True,False,False,False
15,2026-12-20,REG,IND,TEN,False,CBS,6,6,0,False,False,False,False,False,False,False
16,2026-12-27,REG,IND,CIN,True,,6,6,0,False,False,False,False,False,False,False
17,2027-01-03,REG,IND,CLE,False,FOX,6,6,0,False,False,False,False,False,False,False
18,2027-01-10,REG,IND,JAX,True,,6,6,0,False,False,False,False,False,False,False
1,2026-09-13,REG,JAX,CLE,True,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,JAX,DEN,False,CBS,6,5,1,False,False,False,False,False,False,False
3,2026-09-27,REG,JAX,NE,True,CBS,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,REG,JAX,CIN,False,CBS,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,JAX,PHI,True,NFL Net,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,REG,JAX,HOU,True,NFL Net,6,6,0,False,False,False,False,False,False,False
8,2026-11-01,REG,JAX,IND,True,CBS,13,6,7,False,False,False,True,False,False,False
9,2026-11-05,TNF,JAX,BAL,False,Prime Video,3,3,0,True,False,False,False,False,False,False
10,2026-11-15,REG,JAX,TEN,False,FOX,9,13,-4,False,False,True,False,False,False,False
11,2026-11-22,REG,JAX,NYG,False,CBS,6,9,-3,False,False,True,False,False,False,False
12,2026-11-29,REG,JAX,TEN,True,CBS,6,6,0,False,False,False,False,False,False,False
13,2026-12-06,REG,JAX,CHI,False,FOX,6,9,-3,False,False,True,False,False,False,False
14,2026-12-14,MNF,JAX,PIT,True,ESPN,7,7,0,False,False,True,False,False,False,False
15,2026-12-20,REG,JAX,HOU,False,CBS,5,6,-1,True,False,False,False,False,False,False
16,2026-12-27,SNF,JAX,DAL,False,NBC,6,6,0,False,False,False,False,False,False,False
17,2027-01-03,REG,JAX,WAS,True,,6,6,0,False,True,False,False,False,False,False
18,2027-01-10,REG,JAX,IND,False,,6,6,0,False,False,False,False,False,False,False
1,2026-09-14,MNF,KC,DEN,True,"ESPN,ABC",6,6,0,False,False,False,False,False,False,False
2,2026-09-20,SNF,KC,IND,True,NBC,5,6,-1,False,False,False,False,False,False,False
3,2026-09-27,REG,KC,MIA,False,CBS,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,REG,KC,LV,False,CBS,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,REG,KC,LAC,True,CBS,13,6,7,False,False,False,True,False,False,False
7,2026-10-25,SNF,KC,SEA,False,NBC,6,9,-3,False,False,True,False,False,False,False
8,2026-11-01,REG,KC,DEN,False,CBS,6,6,0,False,True,False,False,False,False,False
9,2026-11-08,REG,KC,NYJ,True,CBS,6,6,0,False,False,False,False,False,False,False
10,2026-11-15,REG,KC,ATL,False,CBS,6,6,0,False,False,False,False,False,False,False
11,2026-11-22,REG,KC,ARI,True,CBS,6,6,0,False,False,False,False,False,False,False
12,2026-11-26,TNF,KC,BUF,False,NBC,3,3,0,True,False,False,False,False,False,False
13,2026-12-03,TNF,KC,LAR,False,Prime Video,6,7,-1,False,False,True,False,False,False,False
14,2026-12-13,REG,KC,CIN,False,FOX,9,6,3,False,False,False,False,False,False,False
15,2026-12-21,MNF,KC,NE,True,"ESPN,ABC",7,10,-3,False,False,True,False,False,False,False
16,2026-12-27,REG,KC,SF,True,CBS,5,9,-4,False,False,True,False,False,False,False
17,2027-01-03,REG,KC,LAC,False,,6,6,0,False,False,False,False,False,False,False
18,2027-01-10,REG,KC,LV,True,,6,6,0,False,False,False,False,False,False,False
1,2026-09-13,REG,LAC,ARI,True,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,LAC,LV,True,CBS,6,6,0,False,False,False,False,False,False,False
3,2026-09-27,REG,LAC,BUF,False,FOX,6,9,-3,False,False,True,False,False,False,False
4,2026-10-04,REG,LAC,SEA,False,CBS,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,LAC,DEN,True,CBS,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,REG,LAC,KC,False,CBS,6,13,-7,False,False,True,False,False,False,False
8,2026-11-01,REG,LAC,LAR,False,FOX,13,6,7,False,False,False,True,False,False,False
9,2026-11-08,REG,LAC,HOU,True,CBS,6,13,-7,False,False,True,False,False,False,False
10,2026-11-16,MNF,LAC,BAL,False,ESPN,7,10,-3,False,False,True,False,False,False,False
11,2026-11-22,REG,LAC,NYJ,True,FOX,5,6,-1,False,True,False,False,False,False,False
12,2026-11-29,SNF,LAC,NE,True,NBC,6,13,-7,False,False,True,False,False,False,False
13,2026-12-06,REG,LAC,TB,False,CBS,6,5,1,False,False,False,False,False,False,False
14,2026-12-13,REG,LAC,LV,False,CBS,6,13,-7,False,False,True,False,False,False,False
15,2026-12-17,TNF,LAC,SF,True,Prime Video,3,3,0,False,False,False,False,False,False,False
16,2026-12-27,REG,LAC,MIA,False,FOX,9,6,3,False,False,False,False,False,False,False
17,2027-01-03,REG,LAC,KC,True,,6,6,0,False,False,False,False,False,False,False
18,2027-01-10,REG,LAC,DEN,False,,6,6,0,False,False,False,False,False,False,False
1,2026-09-10,TNF,LAR,SF,True,Netflix,6,6,0,False,False,False,False,False,False,False
2,2026-09-21,MNF,LAR,NYG,True,"ESPN,ABC",10,7,3,False,False,True,False,False,False,False
3,2026-09-27,SNF,LAR,DEN,False,NBC,5,6,-1,True,False,False,False,False,False,False
4,2026-10-04,REG,LAR,PHI,False,FOX,6,5,1,False,True,False,False,False,False,False
5,2026-10-12,MNF,LAR,BUF,True,"ESPN,ABC",7,7,0,False,False,True,False,False,False,False
6,2026-10-18,REG,LAR,ARI,True,FOX,5,6,-1,False,False,False,False,False,False,False
7,2026-10-25,REG,LAR,LV,False,FOX,6,6,0,False,False,False,False,False,False,False
8,2026-11-01,REG,LAR,LAC,True,FOX,6,13,-7,False,False,True,False,False,False,False
9,2026-11-08,REG,LAR,WAS,False,FOX,6,6,0,False,False,False,False,False,False,False
10,2026-11-15,REG,LAR,ARI,False,CBS,6,6,0,False,False,False,False,False,False,False
