player,player_id,paint_fga,paint_fgm,paint_fg_pct,paint_rate,paint_ppg,games,rank
Joel Embiid,203954,123,75,61.0,36.1,7.9,19,155
Kelly Oubre Jr.,1626162,69,42,60.9,39.4,6.0,14,156
Shaedon Sharpe,1631101,271,165,60.9,40.8,8.9,37,157
Zion Williamson,1629627,322,196,60.9,86.8,15.1,26,158
Alex Sarr,1642259,227,138,60.8,56.3,9.5,29,159
Justin Champagnie,1630551,117,71,60.7,61.9,4.7,30,160
Pelle Larsson,1641796,104,63,60.6,46.8,4.7,27,161
Dillon Brooks,1628415,109,66,60.6,18.6,4.0,33,162
Isaiah Jackson,1630543,132,80,60.6,93.0,5.7,28,163
Moussa Cisse,1630619,43,26,60.5,100.0,3.7,14,164
Isaiah Collier,1642268,114,69,60.5,60.0,4.8,29,165
Jabari Smith Jr.,1631095,106,64,60.4,23.3,4.0,32,166
Ryan Dunn,1642346,96,58,60.4,48.0,3.9,30,167
Trendon Watford,1630570,53,32,60.4,60.2,4.6,14,168
Jeremy Sochan,1631110,53,32,60.4,55.8,3.8,17,169
Kris Murray,1631200,96,58,60.4,54.9,3.7,31,170
Devin Booker,1626164,156,94,60.3,23.1,5.2,36,171
RJ Barrett,1629628,161,97,60.2,47.5,8.4,23,172
Julian Phillips,1641763,30,18,60.0,40.5,2.1,17,173
Will Riley,1642860,50,30,60.0,39.7,2.5,24,174
Jaime Jaquez Jr.,1631170,275,165,60.0,61.2,9.2,36,175
Bam Adebayo,1628389,145,87,60.0,33.4,5.4,32,176
Tristan da Silva,1641783,97,58,59.8,34.2,3.5,33,177
Stephon Castle,1642264,184,110,59.8,46.8,7.1,31,178
Jose Alvarado,1630631,62,37,59.7,26.1,2.7,27,179
Cameron Johnson,1629661,77,46,59.7,31.4,3.5,26,180
Tyler Kolek,1642278,57,34,59.6,35.8,2.6,26,181
De'Aaron Fox,1628368,146,87,59.6,29.2,5.6,31,182
Derik Queen,1642852,262,156,59.5,63.7,7.6,41,183
Luguentz Dort,1629652,37,22,59.5,15.9,2.0,22,184
Peyton Watson,1631212,185,110,59.5,50.3,5.9,37,185
Ausar Thompson,1641709,219,130,59.4,71.6,7.6,34,186
Kon Knueppel,1642851,128,76,59.4,23.9,4.1,37,187
Miles McBride,1630540,32,19,59.4,11.7,2.5,15,188
Immanuel Quickley,1630193,106,63,59.4,19.6,3.4,37,189
Cooper Flagg,1642843,268,159,59.3,45.3,8.2,39,190
Max Christie,1631108,91,54,59.3,27.3,3.4,32,191
Toumani Camara,1641739,125,74,59.2,28.2,3.8,39,192
Taylor Hendricks,1641707,44,26,59.1,40.7,2.6,20,193
Tyrese Maxey,1630178,303,179,59.1,37.5,9.9,36,194
