sport,bookmaker,team,odds
NFL,lowvig,Philadelphia Eagles,1100
NFL,lowvig,Green Bay Packers,1200
NFL,lowvig,Houston Texans,1200
NFL,lowvig,New England Patriots,1200
NFL,lowvig,Jacksonville Jaguars,1800
NFL,lowvig,Baltimore Ravens,2000
NFL,lowvig,San Francisco 49ers,2000
NFL,lowvig,Los Angeles Chargers,2200
NFL,lowvig,Chicago Bears,2800
NFL,lowvig,Detroit Lions,2800
NFL,lowvig,Pittsburgh Steelers,5000
NFL,lowvig,Tampa Bay Buccaneers,5000
NFL,lowvig,Carolina Panthers,25000
NFL,lowvig,Indianapolis Colts,30000
NFL,lowvig,Dallas Cowboys,50000
