week,team,game_id,opponent,score,opponent_score,adj_score,score_diff,won_game,next_week,next_game_id,next_opponent,next_score,next_opponent_score,next_adj_score,next_score_diff,won_next_game,diff_change,diff_bin
2,SF,2025_02_SF_NO,NO,26,21,25.6,0.3999999999999986,1,3,2025_03_ARI_SF,ARI,16,15,24.3,-8.3,1,-8.7,0 to 3
2,HOU,2025_02_TB_HOU,TB,19,20,18.9,0.10000000000000142,0,3,2025_03_HOU_JAX,JAX,10,17,17.2,-7.199999999999999,0,-7.300000000000001,0 to 3
2,TB,2025_02_TB_HOU,HOU,20,19,27.4,-7.399999999999999,1,3,2025_03_NYJ_TB,NYJ,29,27,16.2,12.8,1,20.2,-10 to -7
2,GB,2025_02_WAS_GB,WAS,27,18,29.2,-2.1999999999999993,1,3,2025_03_GB_CLE,CLE,10,13,14.4,-4.4,0,-2.200000000000001,-3 to 0
2,WAS,2025_02_WAS_GB,GB,18,27,16.9,1.1000000000000014,0,3,2025_03_LV_WAS,LV,41,24,28.1,12.899999999999999,1,11.799999999999997,0 to 3
3,ARI,2025_03_ARI_SF,SF,15,16,17.5,-2.5,0,4,2025_04_SEA_ARI,SEA,20,23,15.8,4.199999999999999,0,6.699999999999999,-3 to 0
3,SF,2025_03_ARI_SF,ARI,16,15,24.3,-8.3,1,4,2025_04_JAX_SF,JAX,21,26,22.9,-1.8999999999999986,0,6.400000000000002,-10 to -7
3,ATL,2025_03_ATL_CAR,CAR,0,30,13.8,-13.8,0,4,2025_04_WAS_ATL,WAS,34,27,26.2,7.800000000000001,1,21.6,-15 to -10
3,CAR,2025_03_ATL_CAR,ATL,30,0,20.5,9.5,1,4,2025_04_CAR_NE,NE,13,42,22.9,-9.899999999999999,0,-19.4,7 to 10
3,CIN,2025_03_CIN_MIN,MIN,10,48,7.6,2.4000000000000004,0,4,2025_04_CIN_DEN,DEN,3,28,15.6,-12.6,0,-15.0,0 to 3
3,MIN,2025_03_CIN_MIN,CIN,48,10,30.7,17.3,1,4,2025_04_MIN_PIT,PIT,21,24,20.3,0.6999999999999993,0,-16.6,15+
3,CHI,2025_03_DAL_CHI,DAL,31,14,26.9,4.100000000000001,1,4,2025_04_CHI_LV,LV,25,24,19.8,5.199999999999999,1,1.0999999999999979,3 to 5
3,DAL,2025_03_DAL_CHI,CHI,14,31,23.4,-9.399999999999999,0,4,2025_04_GB_DAL,GB,40,40,30.1,9.899999999999999,0,19.299999999999997,-10 to -7
3,DEN,2025_03_DEN_LAC,LAC,20,23,12.8,7.199999999999999,0,4,2025_04_CIN_DEN,CIN,28,3,26.7,1.3000000000000007,1,-5.899999999999999,7 to 10
3,LAC,2025_03_DEN_LAC,DEN,23,20,22.0,1.0,1,4,2025_04_LAC_NYG,NYG,18,21,19.0,-1.0,0,-2.0,0 to 3
3,BAL,2025_03_DET_BAL,DET,30,38,24.0,6.0,0,4,2025_04_BAL_KC,KC,20,37,18.6,1.3999999999999986,0,-4.600000000000001,5 to 7
3,DET,2025_03_DET_BAL,BAL,38,30,33.4,4.600000000000001,1,4,2025_04_CLE_DET,CLE,34,10,21.6,12.399999999999999,1,7.799999999999997,3 to 5
3,CLE,2025_03_GB_CLE,GB,13,10,14.5,-1.5,1,4,2025_04_CLE_DET,DET,10,34,14.4,-4.4,0,-2.9000000000000004,-3 to 0
3,GB,2025_03_GB_CLE,CLE,10,13,14.4,-4.4,0,4,2025_04_GB_DAL,DAL,40,40,30.3,9.7,0,14.1,-5 to -3
3,HOU,2025_03_HOU_JAX,JAX,10,17,17.2,-7.199999999999999,0,4,2025_04_TEN_HOU,TEN,26,0,19.2,6.800000000000001,1,14.0,-10 to -7
3,JAX,2025_03_HOU_JAX,HOU,17,10,21.0,-4.0,1,4,2025_04_JAX_SF,SF,26,21,22.7,3.3000000000000007,1,7.300000000000001,-5 to -3
3,IND,2025_03_IND_TEN,TEN,41,20,30.2,10.8,1,4,2025_04_IND_LA,LA,20,27,20.6,-0.6000000000000014,0,-11.400000000000002,10 to 15
3,TEN,2025_03_IND_TEN,IND,20,41,15.8,4.199999999999999,0,4,2025_04_TEN_HOU,HOU,0,26,12.0,-12.0,0,-16.2,3 to 5
3,KC,2025_03_KC_NYG,NYG,22,9,25.0,-3.0,1,4,2025_04_BAL_KC,BAL,37,20,25.6,11.399999999999999,1,14.399999999999999,-5 to -3
3,NYG,2025_03_KC_NYG,KC,9,22,18.4,-9.399999999999999,0,4,2025_04_LAC_NYG,LAC,21,18,19.1,1.8999999999999986,1,11.299999999999997,-10 to -7
3,LA,2025_03_LA_PHI,PHI,26,33,24.6,1.3999999999999986,0,4,2025_04_IND_LA,IND,27,20,27.9,-0.8999999999999986,1,-2.299999999999997,0 to 3
3,PHI,2025_03_LA_PHI,LA,33,26,21.4,11.600000000000001,1,4,2025_04_PHI_TB,TB,31,25,23.0,8.0,1,-3.6000000000000014,10 to 15
3,LV,2025_03_LV_WAS,WAS,24,41,13.1,10.9,0,4,2025_04_CHI_LV,CHI,24,25,25.6,-1.6000000000000014,0,-12.500000000000002,10 to 15
3,WAS,2025_03_LV_WAS,LV,41,24,28.1,12.899999999999999,1,4,2025_04_WAS_ATL,ATL,27,34,23.0,4.0,0,-8.899999999999999,10 to 15
3,BUF,2025_03_MIA_BUF,MIA,31,21,27.8,3.1999999999999993,1,4,2025_04_NO_BUF,NO,31,19,23.9,7.100000000000001,1,3.900000000000002,3 to 5
3,MIA,2025_03_MIA_BUF,BUF,21,31,17.3,3.6999999999999993,0,4,2025_04_NYJ_MIA,NYJ,27,21,19.5,7.5,1,3.8000000000000007,3 to 5
3,NO,2025_03_NO_SEA,SEA,13,44,22.0,-9.0,0,4,2025_04_NO_BUF,BUF,19,31,22.2,-3.1999999999999993,0,5.800000000000001,-10 to -7
3,SEA,2025_03_NO_SEA,NO,44,13,29.8,14.2,1,4,2025_04_SEA_ARI,ARI,23,20,21.7,1.3000000000000007,1,-12.899999999999999,10 to 15
3,NYJ,2025_03_NYJ_TB,TB,27,29,20.2,6.800000000000001,0,4,2025_04_NYJ_MIA,MIA,21,27,26.4,-5.399999999999999,0,-12.2,5 to 7
3,TB,2025_03_NYJ_TB,NYJ,29,27,16.2,12.8,1,4,2025_04_PHI_TB,PHI,25,31,20.6,4.399999999999999,0,-8.400000000000002,10 to 15
3,NE,2025_03_PIT_NE,PIT,14,21,22.7,-8.7,0,4,2025_04_CAR_NE,CAR,42,13,24.4,17.6,1,26.3,-10 to -7
3,PIT,2025_03_PIT_NE,NE,21,14,21.5,-0.5,1,4,2025_04_MIN_PIT,MIN,24,21,29.1,-5.100000000000001,1,-4.600000000000001,-3 to 0
4,BAL,2025_04_BAL_KC,KC,20,37,18.6,1.3999999999999986,0,5,2025_05_HOU_BAL,HOU,10,44,16.0,-6.0,0,-7.399999999999999,0 to 3
4,KC,2025_04_BAL_KC,BAL,37,20,25.6,11.399999999999999,1,5,2025_05_KC_JAX,JAX,28,31,32.8,-4.799999999999997,0,-16.199999999999996,10 to 15
4,CAR,2025_04_CAR_NE,NE,13,42,22.9,-9.899999999999999,0,5,2025_05_MIA_CAR,MIA,27,24,23.0,4.0,1,13.899999999999999,-10 to -7
4,NE,2025_04_CAR_NE,CAR,42,13,24.4,17.6,1,5,2025_05_NE_BUF,BUF,23,20,22.5,0.5,1,-17.1,15+
4,LV,2025_04_CHI_LV,CHI,24,25,25.6,-1.6000000000000014,0,5,2025_05_LV_IND,IND,6,40,16.1,-10.100000000000001,0,-8.5,-3 to 0
4,CIN,2025_04_CIN_DEN,DEN,3,28,15.6,-12.6,0,5,2025_05_DET_CIN,DET,24,37,17.1,6.899999999999999,0,19.5,-15 to -10
4,DEN,2025_04_CIN_DEN,CIN,28,3,26.7,1.3000000000000007,1,5,2025_05_DEN_PHI,PHI,21,17,26.3,-5.300000000000001,1,-6.600000000000001,0 to 3
4,CLE,2025_04_CLE_DET,DET,10,34,14.4,-4.4,0,5,2025_05_MIN_CLE,MIN,17,21,19.2,-2.1999999999999993,0,2.200000000000001,-5 to -3
4,DET,2025_04_CLE_DET,CLE,34,10,21.6,12.399999999999999,1,5,2025_05_DET_CIN,CIN,37,24,31.7,5.300000000000001,1,-7.099999999999998,10 to 15
4,DAL,2025_04_GB_DAL,GB,40,40,30.1,9.899999999999999,0,5,2025_05_DAL_NYJ,NYJ,37,22,26.8,10.2,1,0.3000000000000007,7 to 10
4,IND,2025_04_IND_LA,LA,20,27,20.6,-0.6000000000000014,0,5,2025_05_LV_IND,LV,40,6,26.8,13.2,1,13.8,-3 to 0
4,LA,2025_04_IND_LA,IND,27,20,27.9,-0.8999999999999986,1,5,2025_05_SF_LA,SF,23,26,32.0,-9.0,0,-8.100000000000001,-3 to 0
4,JAX,2025_04_JAX_SF,SF,26,21,22.7,3.3000000000000007,1,5,2025_05_KC_JAX,KC,31,28,22.7,8.3,1,5.0,3 to 5
4,SF,2025_04_JAX_SF,JAX,21,26,22.9,-1.8999999999999986,0,5,2025_05_SF_LA,LA,26,23,26.9,-0.8999999999999986,1,1.0,-3 to 0
4,LAC,2025_04_LAC_NYG,NYG,18,21,19.0,-1.0,0,5,2025_05_WAS_LAC,WAS,10,27,12.7,-2.6999999999999993,0,-1.6999999999999993,-3 to 0
4,NYG,2025_04_LAC_NYG,LAC,21,18,19.1,1.8999999999999986,1,5,2025_05_NYG_NO,NO,14,26,19.9,-5.899999999999999,0,-7.799999999999997,0 to 3
4,MIN,2025_04_MIN_PIT,PIT,21,24,20.3,0.6999999999999993,0,5,2025_05_MIN_CLE,CLE,21,17,26.5,-5.5,1,-6.199999999999999,0 to 3
4,BUF,2025_04_NO_BUF,NO,31,19,23.9,7.100000000000001,1,5,2025_05_NE_BUF,NE,20,23,24.3,-4.300000000000001,0,-11.400000000000002,7 to 10
4,NO,2025_04_NO_BUF,BUF,19,31,22.2,-3.1999999999999993,0,5,2025_05_NYG_NO,NYG,26,14,23.5,2.5,1,5.699999999999999,-5 to -3
4,MIA,2025_04_NYJ_MIA,NYJ,27,21,19.5,7.5,1,5,2025_05_MIA_CAR,CAR,24,27,18.2,5.800000000000001,0,-1.6999999999999993,7 to 10
4,NYJ,2025_04_NYJ_MIA,MIA,21,27,26.4,-5.399999999999999,0,5,2025_05_DAL_NYJ,DAL,22,37,19.7,2.3000000000000007,0,7.699999999999999,-7 to -5
4,PHI,2025_04_PHI_TB,TB,31,25,23.0,8.0,1,5,2025_05_DEN_PHI,DEN,17,21,19.8,-2.8000000000000007,0,-10.8,7 to 10
4,TB,2025_04_PHI_TB,PHI,25,31,20.6,4.399999999999999,0,5,2025_05_TB_SEA,SEA,38,35,27.2,10.8,1,6.400000000000002,3 to 5
4,ARI,2025_04_SEA_ARI,SEA,20,23,15.8,4.199999999999999,0,5,2025_05_TEN_ARI,TEN,21,22,19.6,1.3999999999999986,0,-2.8000000000000007,3 to 5
4,SEA,2025_04_SEA_ARI,ARI,23,20,21.7,1.3000000000000007,1,5,2025_05_TB_SEA,TB,35,38,30.7,4.300000000000001,0,3.0,0 to 3
4,HOU,2025_04_TEN_HOU,TEN,26,0,19.2,6.800000000000001,1,5,2025_05_HOU_BAL,BAL,44,10,34.9,9.100000000000001,1,2.3000000000000007,5 to 7
4,TEN,2025_04_TEN_HOU,HOU,0,26,12.0,-12.0,0,5,2025_05_TEN_ARI,ARI,22,21,25.1,-3.1000000000000014,1,8.899999999999999,-15 to -10
4,WAS,2025_04_WAS_ATL,ATL,27,34,23.0,4.0,0,5,2025_05_WAS_LAC,LAC,27,10,28.0,-1.0,1,-5.0,3 to 5
5,DAL,2025_05_DAL_NYJ,NYJ,37,22,26.8,10.2,1,6,2025_06_DAL_CAR,CAR,27,30,19.7,7.300000000000001,0,-2.8999999999999986,10 to 15
5,NYJ,2025_05_DAL_NYJ,DAL,22,37,19.7,2.3000000000000007,0,6,2025_06_DEN_NYJ,DEN,11,13,7.9,3.0999999999999996,0,0.7999999999999989,0 to 3
5,DEN,2025_05_DEN_PHI,PHI,21,17,26.3,-5.300000000000001,1,6,2025_06_DEN_NYJ,NYJ,13,11,16.1,-3.1000000000000014,1,2.1999999999999993,-7 to -5
5,PHI,2025_05_DEN_PHI,DEN,17,21,19.8,-2.8000000000000007,0,6,2025_06_PHI_NYG,NYG,17,34,21.1,-4.100000000000001,0,-1.3000000000000007,-3 to 0
5,CIN,2025_05_DET_CIN,DET,24,37,17.1,6.899999999999999,0,6,2025_06_CIN_GB,GB,18,27,24.3,-6.300000000000001,0,-13.2,5 to 7
5,DET,2025_05_DET_CIN,CIN,37,24,31.7,5.300000000000001,1,6,2025_06_DET_KC,KC,17,30,25.2,-8.2,0,-13.5,5 to 7
5,BAL,2025_05_HOU_BAL,HOU,10,44,16.0,-6.0,0,6,2025_06_LA_BAL,LA,3,17,15.4,-12.4,0,-6.4,-7 to -5
5,JAX,2025_05_KC_JAX,KC,31,28,22.7,8.3,1,6,2025_06_SEA_JAX,SEA,12,20,18.1,-6.100000000000001,0,-14.400000000000002,7 to 10
5,KC,2025_05_KC_JAX,JAX,28,31,32.8,-4.799999999999997,0,6,2025_06_DET_KC,DET,30,17,29.4,0.6000000000000014,1,5.399999999999999,-5 to -3
5,IND,2025_05_LV_IND,LV,40,6,26.8,13.2,1,6,2025_06_ARI_IND,ARI,31,27,27.1,3.8999999999999986,1,-9.3,10 to 15
5,LV,2025_05_LV_IND,IND,6,40,16.1,-10.100000000000001,0,6,2025_06_TEN_LV,TEN,20,10,20.2,-0.1999999999999993,1,9.900000000000002,-15 to -10
5,CAR,2025_05_MIA_CAR,MIA,27,24,23.0,4.0,1,6,2025_06_DAL_CAR,DAL,30,27,28.7,1.3000000000000007,1,-2.6999999999999993,3 to 5
5,MIA,2025_05_MIA_CAR,CAR,24,27,18.2,5.800000000000001,0,6,2025_06_LAC_MIA,LAC,27,29,21.1,5.899999999999999,0,0.09999999999999787,5 to 7
5,CLE,2025_05_MIN_CLE,MIN,17,21,19.2,-2.1999999999999993,0,6,2025_06_CLE_PIT,PIT,9,23,14.7,-5.699999999999999,0,-3.5,-3 to 0
5,BUF,2025_05_NE_BUF,NE,20,23,24.3,-4.300000000000001,0,6,2025_06_BUF_ATL,ATL,14,24,22.1,-8.100000000000001,0,-3.8000000000000007,-5 to -3
5,NE,2025_05_NE_BUF,BUF,23,20,22.5,0.5,1,6,2025_06_NE_NO,NO,25,19,21.2,3.8000000000000007,1,3.3000000000000007,0 to 3
5,NO,2025_05_NYG_NO,NYG,26,14,23.5,2.5,1,6,2025_06_NE_NO,NE,19,25,20.2,-1.1999999999999993,0,-3.6999999999999993,0 to 3
5,NYG,2025_05_NYG_NO,NO,14,26,19.9,-5.899999999999999,0,6,2025_06_PHI_NYG,PHI,34,17,24.2,9.8,1,15.7,-7 to -5
