season,week,game_id,team1,team1_score,team1_adj_score,team2,team2_score,team2_adj_score,actual_diff,adj_diff,luck_delta,lucky_team,lucky_team_score,lucky_team_adj_score,lucky_team_overperf,unlucky_team,unlucky_team_score,unlucky_team_adj_score,unlucky_team_underperf
2025,3,2025_03_CIN_MIN,CIN,10,7.6,MIN,48,30.7,-38,-23.1,14.899999999999999,MIN,48,30.7,17.3,CIN,10,7.6,2.4000000000000004
2025,3,2025_03_DAL_CHI,CHI,31,26.9,DAL,14,23.4,17,3.5,13.5,CHI,31,26.9,4.100000000000001,DAL,14,23.4,-9.399999999999999
2025,3,2025_03_DEN_LAC,DEN,20,12.8,LAC,23,22.0,-3,-9.2,6.199999999999999,DEN,20,12.8,7.199999999999999,LAC,23,22.0,1.0
2025,3,2025_03_DET_BAL,BAL,30,24.0,DET,38,33.4,-8,-9.399999999999999,1.3999999999999986,BAL,30,24.0,6.0,DET,38,33.4,4.600000000000001
2025,3,2025_03_GB_CLE,CLE,13,14.5,GB,10,14.4,3,0.09999999999999964,2.9000000000000004,CLE,13,14.5,-1.5,GB,10,14.4,-4.4
2025,3,2025_03_HOU_JAX,HOU,10,17.2,JAX,17,21.0,-7,-3.8000000000000007,3.1999999999999993,JAX,17,21.0,-4.0,HOU,10,17.2,-7.199999999999999
2025,3,2025_03_IND_TEN,IND,41,30.2,TEN,20,15.8,21,14.399999999999999,6.600000000000001,IND,41,30.2,10.8,TEN,20,15.8,4.199999999999999
2025,3,2025_03_KC_NYG,KC,22,25.0,NYG,9,18.4,13,6.600000000000001,6.399999999999999,KC,22,25.0,-3.0,NYG,9,18.4,-9.399999999999999
2025,3,2025_03_LA_PHI,LA,26,24.6,PHI,33,21.4,-7,3.200000000000003,10.200000000000003,PHI,33,21.4,11.600000000000001,LA,26,24.6,1.3999999999999986
2025,3,2025_03_LV_WAS,LV,24,13.1,WAS,41,28.1,-17,-15.000000000000002,1.9999999999999982,WAS,41,28.1,12.899999999999999,LV,24,13.1,10.9
2025,3,2025_03_MIA_BUF,BUF,31,27.8,MIA,21,17.3,10,10.5,0.5,MIA,21,17.3,3.6999999999999993,BUF,31,27.8,3.1999999999999993
2025,3,2025_03_NO_SEA,NO,13,22.0,SEA,44,29.8,-31,-7.800000000000001,23.2,SEA,44,29.8,14.2,NO,13,22.0,-9.0
2025,3,2025_03_NYJ_TB,NYJ,27,20.2,TB,29,16.2,-2,4.0,6.0,TB,29,16.2,12.8,NYJ,27,20.2,6.800000000000001
2025,3,2025_03_PIT_NE,NE,14,22.7,PIT,21,21.5,-7,1.1999999999999993,8.2,PIT,21,21.5,-0.5,NE,14,22.7,-8.7
2025,4,2025_04_BAL_KC,BAL,20,18.6,KC,37,25.6,-17,-7.0,10.0,KC,37,25.6,11.399999999999999,BAL,20,18.6,1.3999999999999986
2025,4,2025_04_CAR_NE,CAR,13,22.9,NE,42,24.4,-29,-1.5,27.5,NE,42,24.4,17.6,CAR,13,22.9,-9.899999999999999
