original_week,luck_delta,lucky_team,lucky_team_overperf,lucky_next_score,lucky_next_adj_score,lucky_next_diff,lucky_won_next,unlucky_team,unlucky_team_underperf,unlucky_next_score,unlucky_next_adj_score,unlucky_next_diff,unlucky_won_next,luck_bin
2,17.9,BAL,22.2,30,24.0,6.0,0,CLE,4.300000000000001,13,14.5,-1.5,1,15+
2,0.3000000000000007,DEN,4.300000000000001,20,12.8,7.199999999999999,0,IND,4.0,41,30.2,10.8,1,0 to 3
2,8.8,CIN,8.0,10,7.6,2.4000000000000004,0,JAX,-0.8000000000000007,17,21.0,-4.0,1,7 to 10
2,2.1999999999999993,LAC,-0.3000000000000007,23,22.0,1.0,1,LV,-2.5,24,13.1,10.9,0,0 to 3
2,1.6999999999999993,LA,6.399999999999999,26,24.6,1.3999999999999986,0,TEN,4.699999999999999,20,15.8,4.199999999999999,0,0 to 3
2,4.399999999999999,NE,11.5,14,22.7,-8.7,0,MIA,7.100000000000001,21,17.3,3.6999999999999993,0,3 to 7
2,2.200000000000003,DAL,13.600000000000001,14,23.4,-9.399999999999999,0,NYG,11.399999999999999,9,18.4,-9.399999999999999,0,0 to 3
2,2.200000000000003,PHI,2.1000000000000014,33,21.4,11.600000000000001,1,KC,-0.10000000000000142,22,25.0,-3.0,1,0 to 3
2,4.800000000000001,SEA,5.100000000000001,44,29.8,14.2,1,PIT,0.3000000000000007,21,21.5,-0.5,1,3 to 7
2,0.10000000000000142,NO,0.5,13,22.0,-9.0,0,SF,0.3999999999999986,16,24.3,-8.3,1,0 to 3
2,7.5,HOU,0.10000000000000142,10,17.2,-7.199999999999999,0,TB,-7.399999999999999,29,16.2,12.8,1,7 to 10
2,3.3000000000000007,WAS,1.1000000000000014,41,28.1,12.899999999999999,1,GB,-2.1999999999999993,10,14.4,-4.4,0,3 to 7
3,5.800000000000001,ARI,-2.5,20,15.8,4.199999999999999,0,SF,-8.3,21,22.9,-1.8999999999999986,0,3 to 7
3,23.3,CAR,9.5,13,22.9,-9.899999999999999,0,ATL,-13.8,34,26.2,7.800000000000001,1,15+
