player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Devin Vassell,player_points_rebounds_assists,21.5,130,bovada,0.4347826086956521,-120,draftkings,0.5454545454545454,0.9802371541501975,2.016129032258074,True,44.35,55.65,102.0,102.02,2.0,100.0,"Bet $44.35 Over @ bovada, $55.65 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.20434211666666666,0.6876754500000001,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Harrison Barnes,player_rebounds,3.5,118,fanduel,0.45871559633027525,-110,bovada,0.5238095238095238,0.9825251201397991,1.7785682525566893,True,46.69,53.31,101.78,101.77,1.77,100.0,"Bet $46.69 Over @ fanduel, $53.31 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,7,0.7543421166666667,0.20434211666666666,0.7543421166666667,False,,2025-12-16 20:45:46 ET
Mitchell Robinson,player_rebounds,6.5,105,bovada,0.4878048780487805,100,betonlineag,0.5,0.9878048780487805,1.2345679012345734,True,49.38,50.62,101.23,101.24,1.23,100.0,"Bet $49.38 Over @ bovada, $50.62 Under @ betonlineag",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,6,0.20434211666666666,3.721008783333333,3.721008783333333,True,betonlineag,2025-12-16 20:45:46 ET
Victor Wembanyama,player_rebounds,9.5,105,draftkings,0.4878048780487805,100,bovada,0.5,0.9878048780487805,1.2345679012345734,True,49.38,50.62,101.23,101.24,1.23,100.0,"Bet $49.38 Over @ draftkings, $50.62 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,2,0.6876754500000001,0.20434211666666666,0.6876754500000001,False,,2025-12-16 20:45:46 ET
De'Aaron Fox,player_points,20.5,-110,betmgm,0.523809523809524,115,bovada,0.46511627906976744,0.9889258028792913,1.119820828667395,True,52.97,47.03,101.12,101.11,1.11,100.0,"Bet $52.97 Over @ betmgm, $47.03 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,5,2.38767545,0.20434211666666666,2.38767545,True,betmgm,2025-12-16 20:45:46 ET
Josh Hart,player_assists,5.5,140,betonlineag,0.41666666666666674,-135,draftkings,0.574468085106383,0.9911347517730498,0.8944543828264706,True,42.04,57.96,100.9,100.89,0.89,100.0,"Bet $42.04 Over @ betonlineag, $57.96 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,6,3.721008783333333,0.6876754500000001,3.721008783333333,True,betonlineag,2025-12-16 20:45:46 ET
Harrison Barnes,player_threes,1.5,-135,draftkings,0.574468085106383,140,bovada,0.4166666666666667,0.9911347517730498,0.8944543828264706,True,57.96,42.04,100.89,100.9,0.89,100.0,"Bet $57.96 Over @ draftkings, $42.04 Under @ bovada",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,8,0.6876754500000001,0.20434211666666666,0.6876754500000001,False,,2025-12-16 20:45:46 ET
Karl-Anthony Towns,player_points,22.5,115,bovada,0.4651162790697675,-112,fanduel,0.5283018867924528,0.9934181658622203,0.6625441696113121,True,46.82,53.18,100.66,100.66,0.66,100.0,"Bet $46.82 Over @ bovada, $53.18 Under @ fanduel",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,3,0.20434211666666666,0.7543421166666667,0.7543421166666667,False,,2025-12-16 20:45:46 ET
Josh Hart,player_points,13.5,-104,fanduel,0.5098039215686274,106,betrivers,0.4854368932038835,0.9952408147725109,0.4781943381790388,True,51.22,48.78,100.47,100.49,0.47,100.0,"Bet $51.22 Over @ fanduel, $48.78 Under @ betrivers",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,6,0.7543421166666667,2.8543421166666665,2.8543421166666665,True,betrivers,2025-12-16 20:45:46 ET
Julian Champagnie,player_points,7.5,-105,bovada,0.5121951219512195,107,williamhill_us,0.4830917874396135,0.995286909390833,0.4735409020954151,True,51.46,48.54,100.47,100.48,0.47,100.0,"Bet $51.46 Over @ bovada, $48.54 Under @ williamhill_us",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,6,0.20434211666666666,1.68767545,1.68767545,False,,2025-12-16 20:45:46 ET
Stephon Castle,player_threes,1.5,158,fanduel,0.3875968992248062,-155,betmgm,0.6078431372549019,0.9954400364797081,0.4580852038479133,True,38.94,61.06,100.47,100.45,0.45,100.0,"Bet $38.94 Over @ fanduel, $61.06 Under @ betmgm",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,7,0.7543421166666667,2.38767545,2.38767545,True,betmgm,2025-12-16 20:45:46 ET
De'Aaron Fox,player_rebounds,3.5,-118,fanduel,0.5412844036697246,120,draftkings,0.45454545454545453,0.9958298582151792,0.41876046901172526,True,54.36,45.64,100.43,100.41,0.41,100.0,"Bet $54.36 Over @ fanduel, $45.64 Under @ draftkings",San Antonio Spurs @ New York Knicks,2025-12-17T01:43:42Z,7,0.7543421166666667,0.6876754500000001,0.7543421166666667,False,,2025-12-16 20:45:46 ET
