player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Jalen Williams,player_points,17.5,100,fanduel,0.5,09:49:41 PM ET,145,bovada,0.40816326530612246,09:50:25 PM ET,0.9081632653061225,10.1123595505618,True,55.06,44.94,110.12,110.1,10.1,100.0,"Bet $55.06 Over @ fanduel, $44.94 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,4,1.1446624333333333,0.4113291,1.1446624333333333,False,,2025-12-23 21:50:49 ET
Naji Marshall,player_points,15.5,145,bovada,0.40816326530612246,09:46:25 PM ET,100,fanduel,0.5,09:49:06 PM ET,0.9081632653061225,10.1123595505618,True,44.94,55.06,110.1,110.12,10.1,100.0,"Bet $44.94 Over @ bovada, $55.06 Under @ fanduel",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,2,4.411329100000001,1.7279957666666665,4.411329100000001,True,bovada,2025-12-23 21:50:49 ET
Anthony Davis,player_rebounds,10.5,115,williamhill_us,0.4651162790697674,09:50:01 PM ET,125,bovada,0.4444444444444444,09:46:25 PM ET,0.9095607235142118,9.943181818181834,True,51.14,48.86,109.95,109.94,9.94,100.0,"Bet $51.14 Over @ williamhill_us, $48.86 Under @ bovada",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,3,0.8113291,4.411329100000001,4.411329100000001,True,bovada,2025-12-23 21:50:49 ET
Royce O'Neale,player_points,11.5,120,bovada,0.4545454545454545,09:49:58 PM ET,118,fanduel,0.45871559633027525,09:49:39 PM ET,0.9132610508757297,9.49771689497718,True,49.77,50.23,109.49,109.5,9.49,100.0,"Bet $49.77 Over @ bovada, $50.23 Under @ fanduel",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,2,0.8613291000000001,1.1779957666666665,1.1779957666666665,False,,2025-12-23 21:50:49 ET
Collin Gillespie,player_points,13.5,100,fanduel,0.5,09:49:39 PM ET,140,bovada,0.4166666666666667,09:49:58 PM ET,0.9166666666666667,9.090909090909083,True,54.55,45.45,109.1,109.08,9.08,100.0,"Bet $54.55 Over @ fanduel, $45.45 Under @ bovada",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,5,1.1779957666666665,0.8613291000000001,1.1779957666666665,False,,2025-12-23 21:50:49 ET
Michael Porter Jr,player_points,28.5,210,bovada,0.32258064516129037,09:50:23 PM ET,-148,fanduel,0.5967741935483871,09:38:10 PM ET,0.9193548387096775,8.771929824561386,True,35.09,64.91,108.78,108.77,8.77,100.0,"Bet $35.09 Over @ bovada, $64.91 Under @ fanduel",Brooklyn Nets @ Philadelphia 76ers,2025-12-24T00:12:00Z,True,2,0.4446624333333334,12.6613291,12.6613291,True,fanduel,2025-12-23 21:50:49 ET
Julius Randle,player_rebounds,5.5,-132,fanduel,0.5689655172413793,09:50:01 PM ET,185,bovada,0.3508771929824561,09:48:08 PM ET,0.9198427102238355,8.714238737257475,True,61.85,38.15,108.71,108.73,8.71,100.0,"Bet $61.85 Over @ fanduel, $38.15 Under @ bovada",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,4,0.8113291,2.6946624333333333,2.6946624333333333,True,bovada,2025-12-23 21:50:49 ET
Jamal Murray,player_assists,10.5,106,fanduel,0.48543689320388345,09:49:06 PM ET,130,draftkings,0.43478260869565216,09:50:16 PM ET,0.9202195018995356,8.669724770642206,True,52.75,47.25,108.66,108.68,8.67,100.0,"Bet $52.75 Over @ fanduel, $47.25 Under @ draftkings",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,3,1.7279957666666665,0.5613291,1.7279957666666665,False,,2025-12-23 21:50:49 ET
Devin Vassell,player_threes,2.5,188,fanduel,0.3472222222222222,09:49:41 PM ET,-135,bovada,0.574468085106383,09:50:25 PM ET,0.9216903073286052,8.496312920807947,True,37.67,62.33,108.49,108.5,8.49,100.0,"Bet $37.67 Over @ fanduel, $62.33 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,4,1.1446624333333333,0.4113291,1.1446624333333333,False,,2025-12-23 21:50:49 ET
Jamal Murray,player_rebounds,6.5,-130,fanduel,0.5652173913043477,09:49:06 PM ET,180,draftkings,0.35714285714285715,09:50:16 PM ET,0.9223602484472049,8.417508417508435,True,61.28,38.72,108.42,108.42,8.42,100.0,"Bet $61.28 Over @ fanduel, $38.72 Under @ draftkings",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,2,1.7279957666666665,0.5613291,1.7279957666666665,False,,2025-12-23 21:50:49 ET
