player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers,over_minutes_stale,under_minutes_stale,over_last_update,under_last_update,max_staleness,is_stale,stale_bookmaker,verify_manually
Klay Thompson,player_steals,1.5,230.0,draftkings,0.30303030303030304,-315.0,draftkings,0.7590361445783133,1.0620664476086163,-5.843932622894476,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Walter Clayton Jr.,player_threes,0.5,230.0,draftkings,0.30303030303030304,-315.0,draftkings,0.7590361445783133,1.0620664476086163,-5.843932622894476,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Isaiah Collier,player_points_rebounds_assists,10.5,-135.0,bovada,0.574468085106383,105.0,bovada,0.4878048780487805,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Lauri Markkanen,player_points_rebounds_assists,34.5,-135.0,bovada,0.574468085106383,105.0,bovada,0.4878048780487805,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Brice Sensabaugh,player_points_rebounds_assists,16.5,-135.0,bovada,0.574468085106383,105.0,bovada,0.4878048780487805,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
P.J. Washington,player_points,18.5,-135.0,bovada,0.574468085106383,105.0,bovada,0.4878048780487805,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Kyle Filipowski,player_points,11.5,-135.0,bovada,0.574468085106383,105.0,bovada,0.4878048780487805,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Keyonte George,player_points_rebounds_assists,33.5,-135.0,bovada,0.574468085106383,105.0,bovada,0.4878048780487805,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Ace Bailey,player_points_rebounds_assists,20.5,105.0,bovada,0.4878048780487805,-135.0,bovada,0.574468085106383,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Brice Sensabaugh,player_points,11.5,105.0,bovada,0.4878048780487805,-135.0,bovada,0.574468085106383,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Klay Thompson,player_points,14.5,105.0,bovada,0.4878048780487805,-135.0,bovada,0.574468085106383,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Daniel Gafford,player_rebounds,4.5,105.0,draftkings,0.4878048780487805,-135.0,draftkings,0.574468085106383,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Keyonte George,player_threes,2.5,105.0,bovada,0.4878048780487805,-135.0,bovada,0.574468085106383,1.0622729631551635,-5.862237420615535,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
P.J. Washington,player_points,19.5,-107.0,williamhill_us,0.5169082125603864,-120.0,bovada,0.5454545454545454,1.062362758014932,-5.870194295163289,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,0.69,1.21,2025-12-16T03:37:11Z,2025-12-16T03:36:40Z,1.21,False,,False
Cooper Flagg,player_rebounds,7.5,125.0,bovada,0.4444444444444444,-162.0,williamhill_us,0.6183206106870229,1.0627650551314674,-5.9058260175578585,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,2,1.21,0.69,2025-12-16T03:36:40Z,2025-12-16T03:37:11Z,1.21,False,,False
Max Christie,player_steals,0.5,200.0,draftkings,0.3333333333333333,-270.0,draftkings,0.7297297297297297,1.063063063063063,-5.932203389830515,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Keyonte George,player_steals,0.5,200.0,draftkings,0.3333333333333333,-270.0,draftkings,0.7297297297297297,1.063063063063063,-5.932203389830515,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.07,1.07,2025-12-16T03:36:48Z,2025-12-16T03:36:48Z,1.07,False,,False
Max Christie,player_threes,2.5,145.0,bovada,0.40816326530612246,-190.0,bovada,0.6551724137931034,1.0633356790992259,-5.956320317670416,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Kyle Filipowski,player_points,10.5,-190.0,bovada,0.6551724137931034,145.0,bovada,0.40816326530612246,1.0633356790992259,-5.956320317670416,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
Lauri Markkanen,player_points,23.5,-190.0,bovada,0.6551724137931034,145.0,bovada,0.40816326530612246,1.0633356790992259,-5.956320317670416,False,,,,,,,Don't bet - bookmaker has edge,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,1,1.21,1.21,2025-12-16T03:36:40Z,2025-12-16T03:36:40Z,1.21,False,,False
