player,away_team,home_team,game_time,market,prop_line,over_odds,under_odds,bookmaker,bookmaker_last_update,market_last_update,fetch_date,season,odds_api_event_id
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-102,-125,fanduel,,2026-03-24T23:37:25Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,7.5,-102,-125,fanduel,,2026-03-24T23:37:25Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Karl-Anthony Towns,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,11.5,-142,108,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mitchell Robinson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,9.5,107,-141,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,7.5,-110,-119,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Zion Williamson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,5.5,-116,-113,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Saddiq Bey,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,5.5,107,-141,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Trey Murphy III,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-142,107,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Dejounte Murray,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-139,106,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
OG Anunoby,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-120,-110,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Derik Queen,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-143,108,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-118,-111,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jalen Brunson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,127,-168,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Herb Jones,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,2.5,-175,132,draftkings,,2026-03-24T23:38:04Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mitchell Robinson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,8.5,-140,105,fanatics,,2026-03-24T23:38:11Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-127,-106,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Karl-Anthony Towns,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,12.5,-113,-121,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Derik Queen,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,120,-165,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jalen Brunson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,108,-148,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Trey Murphy III,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-132,-103,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Dejounte Murray,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-150,110,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Zion Williamson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,5.5,-114,-120,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Herb Jones,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,2.5,-152,112,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,7.5,-122,-112,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Saddiq Bey,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,5.5,107,-143,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
OG Anunoby,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-152,112,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mitchell Robinson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,9.5,-104,-132,betrivers,,2026-03-24T23:38:09Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Herb Jones,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,2.5,-156,121,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Trey Murphy III,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-145,111,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jalen Brunson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,120,-156,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Zion Williamson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,5.5,-109,-119,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
OG Anunoby,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-119,-109,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,7.5,-111,-116,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Dejounte Murray,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-132,102,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
