team,game_date,opponent,location,spread,actual_margin,ats_margin,ats_result,fav_dog,team_points,opp_points
New York Knicks,2025-12-18,Indiana Pacers,Away,-3.5,1,-2.5,L,Favorite,114,113
Indiana Pacers,2025-12-18,New York Knicks,Home,3.5,-1,2.5,W,Underdog,113,114
Brooklyn Nets,2025-10-22,Charlotte Hornets,Away,6.5,-19,-12.5,L,Underdog,117,136
Charlotte Hornets,2025-10-22,Brooklyn Nets,Home,-6.5,19,12.5,W,Favorite,136,117
Orlando Magic,2025-12-31,Indiana Pacers,Away,-4.5,2,-2.5,L,Favorite,112,110
Indiana Pacers,2025-12-31,Orlando Magic,Home,4.5,-2,2.5,W,Underdog,110,112
Golden State Warriors,2025-11-16,New Orleans Pelicans,Away,-10.5,18,7.5,W,Favorite,124,106
New Orleans Pelicans,2025-11-16,Golden State Warriors,Home,10.5,-18,-7.5,L,Underdog,106,124
Utah Jazz,2025-12-22,Denver Nuggets,Away,12.5,-23,-10.5,L,Underdog,112,135
Denver Nuggets,2025-12-22,Utah Jazz,Home,-12.5,23,10.5,W,Favorite,135,112
Toronto Raptors,2025-12-18,Milwaukee Bucks,Away,-5.5,6,0.5,W,Favorite,111,105
Milwaukee Bucks,2025-12-18,Toronto Raptors,Home,5.5,-6,-0.5,L,Underdog,105,111
Indiana Pacers,2025-10-25,Memphis Grizzlies,Away,2.5,-25,-22.5,L,Underdog,103,128
Memphis Grizzlies,2025-10-25,Indiana Pacers,Home,-2.5,25,22.5,W,Favorite,128,103
Charlotte Hornets,2025-12-01,Brooklyn Nets,Away,-4.5,-13,-17.5,L,Favorite,103,116
Brooklyn Nets,2025-12-01,Charlotte Hornets,Home,4.5,13,17.5,W,Underdog,116,103
Golden State Warriors,2025-11-19,Miami Heat,Away,10.5,-14,-3.5,L,Underdog,96,110
Miami Heat,2025-11-19,Golden State Warriors,Home,-10.5,14,3.5,W,Favorite,110,96
Orlando Magic,2025-11-01,Washington Wizards,Away,-8.5,31,22.5,W,Favorite,125,94
Washington Wizards,2025-11-01,Orlando Magic,Home,8.5,-31,-22.5,L,Underdog,94,125
Portland Trail Blazers,2025-10-26,LA Clippers,Away,8.5,-7,1.5,W,Underdog,107,114
LA Clippers,2025-10-26,Portland Trail Blazers,Home,-8.5,7,-1.5,L,Favorite,114,107
Los Angeles Lakers,2025-11-23,Utah Jazz,Away,-9.5,2,-7.5,L,Favorite,108,106
Utah Jazz,2025-11-23,Los Angeles Lakers,Home,9.5,-2,7.5,W,Underdog,106,108
Philadelphia 76ers,2025-11-02,Brooklyn Nets,Away,-4.5,24,19.5,W,Favorite,129,105
Brooklyn Nets,2025-11-02,Philadelphia 76ers,Home,4.5,-24,-19.5,L,Underdog,105,129
Washington Wizards,2025-12-31,Milwaukee Bucks,Away,10.5,1,11.5,W,Underdog,114,113
Milwaukee Bucks,2025-12-31,Washington Wizards,Home,-10.5,-1,-11.5,L,Favorite,113,114
Golden State Warriors,2025-11-12,San Antonio Spurs,Away,3.5,5,8.5,W,Underdog,125,120
San Antonio Spurs,2025-11-12,Golden State Warriors,Home,-3.5,-5,-8.5,L,Favorite,120,125
Houston Rockets,2025-12-06,Dallas Mavericks,Away,-7.5,-13,-20.5,L,Favorite,109,122
Dallas Mavericks,2025-12-06,Houston Rockets,Home,7.5,13,20.5,W,Underdog,122,109
LA Clippers,2025-10-28,Golden State Warriors,Away,-1.5,-19,-20.5,L,Favorite,79,98
Golden State Warriors,2025-10-28,LA Clippers,Home,1.5,19,20.5,W,Underdog,98,79
Sacramento Kings,2025-11-03,Denver Nuggets,Away,11.5,-6,5.5,W,Underdog,124,130
Denver Nuggets,2025-11-03,Sacramento Kings,Home,-11.5,6,-5.5,L,Favorite,130,124
Minnesota Timberwolves,2025-11-24,Sacramento Kings,Away,-10.5,-5,-15.5,L,Favorite,112,117
Sacramento Kings,2025-11-24,Minnesota Timberwolves,Home,10.5,5,15.5,W,Underdog,117,112
Golden State Warriors,2025-11-05,Sacramento Kings,Away,2.5,-5,-2.5,L,Underdog,116,121
Sacramento Kings,2025-11-05,Golden State Warriors,Home,-2.5,5,2.5,W,Favorite,121,116
Orlando Magic,2025-11-28,Detroit Pistons,Away,3.5,3,6.5,W,Underdog,112,109
Detroit Pistons,2025-11-28,Orlando Magic,Home,-3.5,-3,-6.5,L,Favorite,109,112
Orlando Magic,2025-12-22,Golden State Warriors,Away,6.5,-23,-16.5,L,Underdog,97,120
Golden State Warriors,2025-12-22,Orlando Magic,Home,-6.5,23,16.5,W,Favorite,120,97
Atlanta Hawks,2025-12-29,Oklahoma City Thunder,Away,17.5,-11,6.5,W,Underdog,129,140
Oklahoma City Thunder,2025-12-29,Atlanta Hawks,Home,-17.5,11,-6.5,L,Favorite,140,129
Boston Celtics,2025-10-31,Philadelphia 76ers,Away,-1.5,1,-0.5,L,Favorite,109,108
Philadelphia 76ers,2025-10-31,Boston Celtics,Home,1.5,-1,0.5,W,Underdog,108,109
Chicago Bulls,2025-11-08,Cleveland Cavaliers,Away,8.5,-6,2.5,W,Underdog,122,128
Cleveland Cavaliers,2025-11-08,Chicago Bulls,Home,-8.5,6,-2.5,L,Favorite,128,122
Orlando Magic,2025-12-18,Denver Nuggets,Away,6.5,-11,-4.5,L,Underdog,115,126
Denver Nuggets,2025-12-18,Orlando Magic,Home,-6.5,11,4.5,W,Favorite,126,115
Atlanta Hawks,2026-01-03,Toronto Raptors,Away,4.5,-17,-12.5,L,Underdog,117,134
Toronto Raptors,2026-01-03,Atlanta Hawks,Home,-4.5,17,12.5,W,Favorite,134,117
Miami Heat,2025-11-02,Los Angeles Lakers,Away,4.5,-10,-5.5,L,Underdog,120,130
Los Angeles Lakers,2025-11-02,Miami Heat,Home,-4.5,10,5.5,W,Favorite,130,120
Charlotte Hornets,2025-11-17,Toronto Raptors,Away,8.5,-2,6.5,W,Underdog,108,110
Toronto Raptors,2025-11-17,Charlotte Hornets,Home,-8.5,2,-6.5,L,Favorite,110,108
LA Clippers,2025-11-23,Cleveland Cavaliers,Away,7.5,-15,-7.5,L,Underdog,105,120
Cleveland Cavaliers,2025-11-23,LA Clippers,Home,-7.5,15,7.5,W,Favorite,120,105
Memphis Grizzlies,2025-11-22,Dallas Mavericks,Away,-1.5,6,4.5,W,Favorite,102,96
Dallas Mavericks,2025-11-22,Memphis Grizzlies,Home,1.5,-6,-4.5,L,Underdog,96,102
Boston Celtics,2025-11-29,Minnesota Timberwolves,Away,5.5,-4,1.5,W,Underdog,115,119
Minnesota Timberwolves,2025-11-29,Boston Celtics,Home,-5.5,4,-1.5,L,Favorite,119,115
Denver Nuggets,2025-10-27,Minnesota Timberwolves,Away,-6.5,13,6.5,W,Favorite,127,114
Minnesota Timberwolves,2025-10-27,Denver Nuggets,Home,6.5,-13,-6.5,L,Underdog,114,127
Charlotte Hornets,2025-12-14,Cleveland Cavaliers,Away,12.5,8,20.5,W,Underdog,119,111
Cleveland Cavaliers,2025-12-14,Charlotte Hornets,Home,-12.5,-8,-20.5,L,Favorite,111,119
Utah Jazz,2025-10-24,Sacramento Kings,Away,5.5,-1,4.5,W,Underdog,104,105
Sacramento Kings,2025-10-24,Utah Jazz,Home,-5.5,1,-4.5,L,Favorite,105,104
Indiana Pacers,2025-12-12,Philadelphia 76ers,Away,5.5,-10,-4.5,L,Underdog,105,115
Philadelphia 76ers,2025-12-12,Indiana Pacers,Home,-5.5,10,4.5,W,Favorite,115,105
