team,game_date,opponent,location,spread,actual_margin,ats_margin,ats_result,fav_dog,team_points,opp_points
Denver Nuggets,2025-12-01,Dallas Mavericks,Home,-11.5,-10,-21.5,L,Favorite,121,131
Phoenix Suns,2025-12-05,Houston Rockets,Away,9.5,-19,-9.5,L,Underdog,98,117
Houston Rockets,2025-12-05,Phoenix Suns,Home,-9.5,19,9.5,W,Favorite,117,98
Utah Jazz,2025-11-07,Minnesota Timberwolves,Away,12.5,-40,-27.5,L,Underdog,97,137
Minnesota Timberwolves,2025-11-07,Utah Jazz,Home,-12.5,40,27.5,W,Favorite,137,97
Denver Nuggets,2025-12-11,Sacramento Kings,Away,-10.5,31,20.5,W,Favorite,136,105
Sacramento Kings,2025-12-11,Denver Nuggets,Home,10.5,-31,-20.5,L,Underdog,105,136
New York Knicks,2025-10-28,Milwaukee Bucks,Away,-2.5,-10,-12.5,L,Favorite,111,121
Milwaukee Bucks,2025-10-28,New York Knicks,Home,2.5,10,12.5,W,Underdog,121,111
Brooklyn Nets,2025-12-23,Philadelphia 76ers,Away,9.5,8,17.5,W,Underdog,114,106
Philadelphia 76ers,2025-12-23,Brooklyn Nets,Home,-9.5,-8,-17.5,L,Favorite,106,114
Sacramento Kings,2025-12-30,LA Clippers,Away,10.5,-41,-30.5,L,Underdog,90,131
LA Clippers,2025-12-30,Sacramento Kings,Home,-10.5,41,30.5,W,Favorite,131,90
Indiana Pacers,2025-12-22,Boston Celtics,Away,11.5,-8,3.5,W,Underdog,95,103
Boston Celtics,2025-12-22,Indiana Pacers,Home,-11.5,8,-3.5,L,Favorite,103,95
Denver Nuggets,2025-11-21,Houston Rockets,Away,2.5,3,5.5,W,Underdog,112,109
Houston Rockets,2025-11-21,Denver Nuggets,Home,-2.5,-3,-5.5,L,Favorite,109,112
Atlanta Hawks,2026-01-02,New York Knicks,Away,5.5,12,17.5,W,Underdog,111,99
New York Knicks,2026-01-02,Atlanta Hawks,Home,-5.5,-12,-17.5,L,Favorite,99,111
Detroit Pistons,2025-12-28,LA Clippers,Away,-3.5,-13,-16.5,L,Favorite,99,112
LA Clippers,2025-12-28,Detroit Pistons,Home,3.5,13,16.5,W,Underdog,112,99
Washington Wizards,2025-12-02,Philadelphia 76ers,Away,13.5,-19,-5.5,L,Underdog,102,121
Philadelphia 76ers,2025-12-02,Washington Wizards,Home,-13.5,19,5.5,W,Favorite,121,102
Philadelphia 76ers,2025-11-05,Cleveland Cavaliers,Away,11.5,-11,0.5,W,Underdog,121,132
Cleveland Cavaliers,2025-11-05,Philadelphia 76ers,Home,-11.5,11,-0.5,L,Favorite,132,121
Memphis Grizzlies,2025-11-28,LA Clippers,Away,6.5,5,11.5,W,Underdog,112,107
LA Clippers,2025-11-28,Memphis Grizzlies,Home,-6.5,-5,-11.5,L,Favorite,107,112
San Antonio Spurs,2025-11-30,Minnesota Timberwolves,Away,4.5,-13,-8.5,L,Underdog,112,125
Minnesota Timberwolves,2025-11-30,San Antonio Spurs,Home,-4.5,13,8.5,W,Favorite,125,112
Boston Celtics,2025-12-20,Toronto Raptors,Away,1.5,16,17.5,W,Underdog,112,96
Toronto Raptors,2025-12-20,Boston Celtics,Home,-1.5,-16,-17.5,L,Favorite,96,112
Charlotte Hornets,2026-01-02,Milwaukee Bucks,Away,5.5,-1,4.5,W,Underdog,121,122
Milwaukee Bucks,2026-01-02,Charlotte Hornets,Home,-5.5,1,-4.5,L,Favorite,122,121
Philadelphia 76ers,2025-12-28,Oklahoma City Thunder,Away,15.5,-25,-9.5,L,Underdog,104,129
Oklahoma City Thunder,2025-12-28,Philadelphia 76ers,Home,-15.5,25,9.5,W,Favorite,129,104
Chicago Bulls,2025-11-07,Milwaukee Bucks,Away,4.5,-16,-11.5,L,Underdog,110,126
Milwaukee Bucks,2025-11-07,Chicago Bulls,Home,-4.5,16,11.5,W,Favorite,126,110
Houston Rockets,2025-12-21,Sacramento Kings,Away,-12.5,-1,-13.5,L,Favorite,124,125
Sacramento Kings,2025-12-21,Houston Rockets,Home,12.5,1,13.5,W,Underdog,125,124
Dallas Mavericks,2025-11-03,Houston Rockets,Away,12.5,-8,4.5,W,Underdog,102,110
Houston Rockets,2025-11-03,Dallas Mavericks,Home,-12.5,8,-4.5,L,Favorite,110,102
Detroit Pistons,2025-10-22,Chicago Bulls,Away,-3.5,-4,-7.5,L,Favorite,111,115
Chicago Bulls,2025-10-22,Detroit Pistons,Home,3.5,4,7.5,W,Underdog,115,111
Indiana Pacers,2025-11-09,Golden State Warriors,Away,12.5,-31,-18.5,L,Underdog,83,114
Golden State Warriors,2025-11-09,Indiana Pacers,Home,-12.5,31,18.5,W,Favorite,114,83
Milwaukee Bucks,2025-11-17,Cleveland Cavaliers,Away,5.5,-12,-6.5,L,Underdog,106,118
Cleveland Cavaliers,2025-11-17,Milwaukee Bucks,Home,-5.5,12,6.5,W,Favorite,118,106
Minnesota Timberwolves,2025-11-03,Brooklyn Nets,Away,-9.5,16,6.5,W,Favorite,125,109
Brooklyn Nets,2025-11-03,Minnesota Timberwolves,Home,9.5,-16,-6.5,L,Underdog,109,125
Charlotte Hornets,2025-10-25,Philadelphia 76ers,Away,4.5,-4,0.5,W,Underdog,121,125
Philadelphia 76ers,2025-10-25,Charlotte Hornets,Home,-4.5,4,-0.5,L,Favorite,125,121
Orlando Magic,2025-11-12,New York Knicks,Away,3.5,17,20.5,W,Underdog,124,107
New York Knicks,2025-11-12,Orlando Magic,Home,-3.5,-17,-20.5,L,Favorite,107,124
Los Angeles Lakers,2025-10-31,Memphis Grizzlies,Away,-2.5,5,2.5,W,Favorite,117,112
Memphis Grizzlies,2025-10-31,Los Angeles Lakers,Home,2.5,-5,-2.5,L,Underdog,112,117
Dallas Mavericks,2025-12-05,Oklahoma City Thunder,Away,15.5,-21,-5.5,L,Underdog,111,132
Oklahoma City Thunder,2025-12-05,Dallas Mavericks,Home,-15.5,21,5.5,W,Favorite,132,111
Boston Celtics,2025-11-07,Orlando Magic,Away,3.5,-13,-9.5,L,Underdog,110,123
Orlando Magic,2025-11-07,Boston Celtics,Home,-3.5,13,9.5,W,Favorite,123,110
Brooklyn Nets,2025-10-26,San Antonio Spurs,Away,10.5,-11,-0.5,L,Underdog,107,118
San Antonio Spurs,2025-10-26,Brooklyn Nets,Home,-10.5,11,0.5,W,Favorite,118,107
Boston Celtics,2025-12-28,Portland Trail Blazers,Away,-7.5,-6,-13.5,L,Favorite,108,114
Portland Trail Blazers,2025-12-28,Boston Celtics,Home,7.5,6,13.5,W,Underdog,114,108
LA Clippers,2025-11-16,Boston Celtics,Away,5.5,-3,2.5,W,Underdog,118,121
Boston Celtics,2025-11-16,LA Clippers,Home,-5.5,3,-2.5,L,Favorite,121,118
Phoenix Suns,2025-12-27,New Orleans Pelicans,Away,-4.5,9,4.5,W,Favorite,123,114
New Orleans Pelicans,2025-12-27,Phoenix Suns,Home,4.5,-9,-4.5,L,Underdog,114,123
Dallas Mavericks,2025-12-25,Golden State Warriors,Away,7.5,-10,-2.5,L,Underdog,116,126
Golden State Warriors,2025-12-25,Dallas Mavericks,Home,-7.5,10,2.5,W,Favorite,126,116
Brooklyn Nets,2025-11-16,Washington Wizards,Away,2.5,23,25.5,W,Underdog,129,106
Washington Wizards,2025-11-16,Brooklyn Nets,Home,-2.5,-23,-25.5,L,Favorite,106,129
Toronto Raptors,2025-12-15,Miami Heat,Away,5.5,10,15.5,W,Underdog,106,96
Miami Heat,2025-12-15,Toronto Raptors,Home,-5.5,-10,-15.5,L,Favorite,96,106
Charlotte Hornets,2025-11-23,Atlanta Hawks,Away,7.5,-3,4.5,W,Underdog,110,113
Atlanta Hawks,2025-11-23,Charlotte Hornets,Home,-7.5,3,-4.5,L,Favorite,113,110
Golden State Warriors,2025-11-07,Denver Nuggets,Away,9.5,-25,-15.5,L,Underdog,104,129
Denver Nuggets,2025-11-07,Golden State Warriors,Home,-9.5,25,15.5,W,Favorite,129,104
Milwaukee Bucks,2025-11-26,Miami Heat,Away,10.5,-3,7.5,W,Underdog,103,106
Miami Heat,2025-11-26,Milwaukee Bucks,Home,-10.5,3,-7.5,L,Favorite,106,103
Miami Heat,2025-10-24,Memphis Grizzlies,Away,3.5,32,35.5,W,Underdog,146,114
Memphis Grizzlies,2025-10-24,Miami Heat,Home,-3.5,-32,-35.5,L,Favorite,114,146
San Antonio Spurs,2025-12-03,Orlando Magic,Away,8.5,2,10.5,W,Underdog,114,112
Orlando Magic,2025-12-03,San Antonio Spurs,Home,-8.5,-2,-10.5,L,Favorite,112,114
Phoenix Suns,2025-12-10,Oklahoma City Thunder,Away,15.5,-49,-33.5,L,Underdog,89,138
Oklahoma City Thunder,2025-12-10,Phoenix Suns,Home,-15.5,49,33.5,W,Favorite,138,89
Golden State Warriors,2025-11-01,Indiana Pacers,Away,-10.5,-5,-15.5,L,Favorite,109,114
Indiana Pacers,2025-11-01,Golden State Warriors,Home,10.5,5,15.5,W,Underdog,114,109
Brooklyn Nets,2025-12-03,Chicago Bulls,Away,7.5,10,17.5,W,Underdog,113,103
Chicago Bulls,2025-12-03,Brooklyn Nets,Home,-7.5,-10,-17.5,L,Favorite,103,113
Denver Nuggets,2025-10-23,Golden State Warriors,Away,1.5,-6,-4.5,L,Underdog,131,137
Golden State Warriors,2025-10-23,Denver Nuggets,Home,-1.5,6,4.5,W,Favorite,137,131
Boston Celtics,2026-01-03,LA Clippers,Away,1.5,31,32.5,W,Underdog,146,115
LA Clippers,2026-01-03,Boston Celtics,Home,-1.5,-31,-32.5,L,Favorite,115,146
Minnesota Timberwolves,2025-11-21,Phoenix Suns,Away,-4.5,-1,-5.5,L,Favorite,113,114
Phoenix Suns,2025-11-21,Minnesota Timberwolves,Home,4.5,1,5.5,W,Underdog,114,113
Denver Nuggets,2025-12-31,Toronto Raptors,Away,7.5,3,10.5,W,Underdog,106,103
Toronto Raptors,2025-12-31,Denver Nuggets,Home,-7.5,-3,-10.5,L,Favorite,103,106
Boston Celtics,2025-11-30,Cleveland Cavaliers,Away,7.5,2,9.5,W,Underdog,117,115
Cleveland Cavaliers,2025-11-30,Boston Celtics,Home,-7.5,-2,-9.5,L,Favorite,115,117
Cleveland Cavaliers,2025-12-01,Indiana Pacers,Away,-4.5,16,11.5,W,Favorite,135,119
Indiana Pacers,2025-12-01,Cleveland Cavaliers,Home,4.5,-16,-11.5,L,Underdog,119,135
Brooklyn Nets,2025-11-05,Indiana Pacers,Away,6.5,9,15.5,W,Underdog,112,103
Indiana Pacers,2025-11-05,Brooklyn Nets,Home,-6.5,-9,-15.5,L,Favorite,103,112
Dallas Mavericks,2025-11-08,Washington Wizards,Away,-4.5,6,1.5,W,Favorite,111,105
Washington Wizards,2025-11-08,Dallas Mavericks,Home,4.5,-6,-1.5,L,Underdog,105,111
Oklahoma City Thunder,2025-11-30,Portland Trail Blazers,Away,-11.5,8,-3.5,L,Favorite,123,115
Portland Trail Blazers,2025-11-30,Oklahoma City Thunder,Home,11.5,-8,3.5,W,Underdog,115,123
New Orleans Pelicans,2025-11-29,Golden State Warriors,Away,9.5,-8,1.5,W,Underdog,96,104
Golden State Warriors,2025-11-29,New Orleans Pelicans,Home,-9.5,8,-1.5,L,Favorite,104,96
New York Knicks,2025-11-22,Orlando Magic,Away,1.5,-12,-10.5,L,Underdog,121,133
Orlando Magic,2025-11-22,New York Knicks,Home,-1.5,12,10.5,W,Favorite,133,121
New Orleans Pelicans,2025-12-14,Chicago Bulls,Away,4.5,10,14.5,W,Underdog,114,104
Chicago Bulls,2025-12-14,New Orleans Pelicans,Home,-4.5,-10,-14.5,L,Favorite,104,114
Atlanta Hawks,2025-11-25,Washington Wizards,Away,-10.5,-19,-29.5,L,Favorite,113,132
Washington Wizards,2025-11-25,Atlanta Hawks,Home,10.5,19,29.5,W,Underdog,132,113
Oklahoma City Thunder,2025-12-07,Utah Jazz,Away,-11.5,30,18.5,W,Favorite,131,101
Utah Jazz,2025-12-07,Oklahoma City Thunder,Home,11.5,-30,-18.5,L,Underdog,101,131
Utah Jazz,2025-11-18,Los Angeles Lakers,Away,13.5,-14,-0.5,L,Underdog,126,140
Los Angeles Lakers,2025-11-18,Utah Jazz,Home,-13.5,14,0.5,W,Favorite,140,126
Milwaukee Bucks,2025-12-29,Charlotte Hornets,Away,-3.5,10,6.5,W,Favorite,123,113
Charlotte Hornets,2025-12-29,Milwaukee Bucks,Home,3.5,-10,-6.5,L,Underdog,113,123
Boston Celtics,2025-12-26,Indiana Pacers,Away,-8.5,18,9.5,W,Favorite,140,122
Indiana Pacers,2025-12-26,Boston Celtics,Home,8.5,-18,-9.5,L,Underdog,122,140
San Antonio Spurs,2025-11-26,Portland Trail Blazers,Away,1.5,13,14.5,W,Underdog,115,102
Portland Trail Blazers,2025-11-26,San Antonio Spurs,Home,-1.5,-13,-14.5,L,Favorite,102,115
Milwaukee Bucks,2025-12-14,Brooklyn Nets,Away,-1.5,-45,-46.5,L,Favorite,82,127
Brooklyn Nets,2025-12-14,Milwaukee Bucks,Home,1.5,45,46.5,W,Underdog,127,82
San Antonio Spurs,2025-12-19,Atlanta Hawks,Away,-3.5,28,24.5,W,Favorite,126,98
Atlanta Hawks,2025-12-19,San Antonio Spurs,Home,3.5,-28,-24.5,L,Underdog,98,126
Sacramento Kings,2025-11-22,Denver Nuggets,Away,10.5,5,15.5,W,Underdog,128,123
Denver Nuggets,2025-11-22,Sacramento Kings,Home,-10.5,-5,-15.5,L,Favorite,123,128
LA Clippers,2025-12-03,Atlanta Hawks,Away,1.5,23,24.5,W,Underdog,115,92
Atlanta Hawks,2025-12-03,LA Clippers,Home,-1.5,-23,-24.5,L,Favorite,92,115
Milwaukee Bucks,2025-11-12,Charlotte Hornets,Away,-2.5,-11,-13.5,L,Favorite,100,111
Charlotte Hornets,2025-11-12,Milwaukee Bucks,Home,2.5,11,13.5,W,Underdog,111,100
Chicago Bulls,2025-12-21,Atlanta Hawks,Away,4.5,2,6.5,W,Underdog,152,150
Atlanta Hawks,2025-12-21,Chicago Bulls,Home,-4.5,-2,-6.5,L,Favorite,150,152
Phoenix Suns,2025-11-28,Oklahoma City Thunder,Away,14.5,-4,10.5,W,Underdog,119,123
Oklahoma City Thunder,2025-11-28,Phoenix Suns,Home,-14.5,4,-10.5,L,Favorite,123,119
Philadelphia 76ers,2026-01-03,New York Knicks,Away,3.5,11,14.5,W,Underdog,130,119
New York Knicks,2026-01-03,Philadelphia 76ers,Home,-3.5,-11,-14.5,L,Favorite,119,130
Chicago Bulls,2025-11-29,Indiana Pacers,Away,-2.5,-2,-4.5,L,Favorite,101,103
Indiana Pacers,2025-11-29,Chicago Bulls,Home,2.5,2,4.5,W,Underdog,103,101
Milwaukee Bucks,2025-12-01,Washington Wizards,Away,-10.5,-3,-13.5,L,Favorite,126,129
Washington Wizards,2025-12-01,Milwaukee Bucks,Home,10.5,3,13.5,W,Underdog,129,126
Detroit Pistons,2025-11-07,Brooklyn Nets,Away,-10.5,18,7.5,W,Favorite,125,107
Brooklyn Nets,2025-11-07,Detroit Pistons,Home,10.5,-18,-7.5,L,Underdog,107,125
Cleveland Cavaliers,2025-12-12,Washington Wizards,Away,-16.5,4,-12.5,L,Favorite,130,126
Washington Wizards,2025-12-12,Cleveland Cavaliers,Home,16.5,-4,12.5,W,Underdog,126,130
Memphis Grizzlies,2025-10-27,Golden State Warriors,Away,8.5,-13,-4.5,L,Underdog,118,131
Golden State Warriors,2025-10-27,Memphis Grizzlies,Home,-8.5,13,4.5,W,Favorite,131,118
Orlando Magic,2025-11-25,Philadelphia 76ers,Away,-4.5,41,36.5,W,Favorite,144,103
Philadelphia 76ers,2025-11-25,Orlando Magic,Home,4.5,-41,-36.5,L,Underdog,103,144
Sacramento Kings,2025-12-06,Miami Heat,Away,8.5,16,24.5,W,Underdog,127,111
Miami Heat,2025-12-06,Sacramento Kings,Home,-8.5,-16,-24.5,L,Favorite,111,127
Los Angeles Lakers,2025-10-26,Sacramento Kings,Away,3.5,7,10.5,W,Underdog,127,120
Sacramento Kings,2025-10-26,Los Angeles Lakers,Home,-3.5,-7,-10.5,L,Favorite,120,127
New York Knicks,2025-12-13,Orlando Magic,Away,-4.5,12,7.5,W,Favorite,132,120
Orlando Magic,2025-12-13,New York Knicks,Home,4.5,-12,-7.5,L,Underdog,120,132
Denver Nuggets,2025-11-24,Memphis Grizzlies,Away,-6.5,10,3.5,W,Favorite,125,115
Memphis Grizzlies,2025-11-24,Denver Nuggets,Home,6.5,-10,-3.5,L,Underdog,115,125
Sacramento Kings,2025-12-18,Portland Trail Blazers,Away,8.5,-1,7.5,W,Underdog,133,134
Portland Trail Blazers,2025-12-18,Sacramento Kings,Home,-8.5,1,-7.5,L,Favorite,134,133
Indiana Pacers,2025-11-17,Detroit Pistons,Away,11.5,-15,-3.5,L,Underdog,112,127
Detroit Pistons,2025-11-17,Indiana Pacers,Home,-11.5,15,3.5,W,Favorite,127,112
Toronto Raptors,2025-10-26,Dallas Mavericks,Away,-1.5,-10,-11.5,L,Favorite,129,139
Dallas Mavericks,2025-10-26,Toronto Raptors,Home,1.5,10,11.5,W,Underdog,139,129
Minnesota Timberwolves,2025-12-31,Atlanta Hawks,Away,-5.5,-24,-29.5,L,Favorite,102,126
Atlanta Hawks,2025-12-31,Minnesota Timberwolves,Home,5.5,24,29.5,W,Underdog,126,102
Utah Jazz,2025-10-31,Phoenix Suns,Away,3.5,-22,-18.5,L,Underdog,96,118
Phoenix Suns,2025-10-31,Utah Jazz,Home,-3.5,22,18.5,W,Favorite,118,96
New Orleans Pelicans,2025-10-22,Memphis Grizzlies,Away,4.5,-6,-1.5,L,Underdog,122,128
Memphis Grizzlies,2025-10-22,New Orleans Pelicans,Home,-4.5,6,1.5,W,Favorite,128,122
Minnesota Timberwolves,2025-12-02,New Orleans Pelicans,Away,-12.5,7,-5.5,L,Favorite,149,142
New Orleans Pelicans,2025-12-02,Minnesota Timberwolves,Home,12.5,-7,5.5,W,Underdog,142,149
New York Knicks,2025-12-02,Boston Celtics,Away,-1.5,-6,-7.5,L,Favorite,117,123
Boston Celtics,2025-12-02,New York Knicks,Home,1.5,6,7.5,W,Underdog,123,117
Cleveland Cavaliers,2025-12-17,Chicago Bulls,Away,-5.5,-16,-21.5,L,Favorite,111,127
Chicago Bulls,2025-12-17,Cleveland Cavaliers,Home,5.5,16,21.5,W,Underdog,127,111
Cleveland Cavaliers,2025-10-22,New York Knicks,Away,-1.5,-8,-9.5,L,Favorite,111,119
New York Knicks,2025-10-22,Cleveland Cavaliers,Home,1.5,8,9.5,W,Underdog,119,111
Denver Nuggets,2025-12-03,Indiana Pacers,Away,-8.5,15,6.5,W,Favorite,135,120
Indiana Pacers,2025-12-03,Denver Nuggets,Home,8.5,-15,-6.5,L,Underdog,120,135
Portland Trail Blazers,2025-11-16,Dallas Mavericks,Away,-3.5,-5,-8.5,L,Favorite,133,138
Dallas Mavericks,2025-11-16,Portland Trail Blazers,Home,3.5,5,8.5,W,Underdog,138,133
Charlotte Hornets,2025-11-14,Milwaukee Bucks,Away,9.5,-13,-3.5,L,Underdog,134,147
Milwaukee Bucks,2025-11-14,Charlotte Hornets,Home,-9.5,13,3.5,W,Favorite,147,134
Oklahoma City Thunder,2025-11-21,Utah Jazz,Away,-16.5,32,15.5,W,Favorite,144,112
Utah Jazz,2025-11-21,Oklahoma City Thunder,Home,16.5,-32,-15.5,L,Underdog,112,144
Sacramento Kings,2025-12-28,Los Angeles Lakers,Away,12.5,-24,-11.5,L,Underdog,101,125
Los Angeles Lakers,2025-12-28,Sacramento Kings,Home,-12.5,24,11.5,W,Favorite,125,101
Orlando Magic,2025-12-07,New York Knicks,Away,1.5,-6,-4.5,L,Underdog,100,106
New York Knicks,2025-12-07,Orlando Magic,Home,-1.5,6,4.5,W,Favorite,106,100
Miami Heat,2025-12-05,Orlando Magic,Away,6.5,-1,5.5,W,Underdog,105,106
Orlando Magic,2025-12-05,Miami Heat,Home,-6.5,1,-5.5,L,Favorite,106,105
Houston Rockets,2025-12-23,LA Clippers,Away,-7.5,-20,-27.5,L,Favorite,108,128
LA Clippers,2025-12-23,Houston Rockets,Home,7.5,20,27.5,W,Underdog,128,108
Orlando Magic,2025-11-04,Atlanta Hawks,Away,-3.5,-15,-18.5,L,Favorite,112,127
Atlanta Hawks,2025-11-04,Orlando Magic,Home,3.5,15,18.5,W,Underdog,127,112
San Antonio Spurs,2025-12-21,Washington Wizards,Away,-15.5,11,-4.5,L,Favorite,124,113
Washington Wizards,2025-12-21,San Antonio Spurs,Home,15.5,-11,4.5,W,Underdog,113,124
Phoenix Suns,2025-12-31,Cleveland Cavaliers,Away,6.5,-16,-9.5,L,Underdog,113,129
Cleveland Cavaliers,2025-12-31,Phoenix Suns,Home,-6.5,16,9.5,W,Favorite,129,113
Cleveland Cavaliers,2025-10-24,Brooklyn Nets,Away,-11.5,7,-4.5,L,Favorite,131,124
Brooklyn Nets,2025-10-24,Cleveland Cavaliers,Home,11.5,-7,4.5,W,Underdog,124,131
Dallas Mavericks,2025-12-29,Portland Trail Blazers,Away,2.5,-3,-0.5,L,Underdog,122,125
Portland Trail Blazers,2025-12-29,Dallas Mavericks,Home,-2.5,3,0.5,W,Favorite,125,122
Miami Heat,2025-11-23,Philadelphia 76ers,Away,-1.5,10,8.5,W,Favorite,127,117
Philadelphia 76ers,2025-11-23,Miami Heat,Home,1.5,-10,-8.5,L,Underdog,117,127
New Orleans Pelicans,2025-12-31,Chicago Bulls,Away,1.5,-16,-14.5,L,Underdog,118,134
Chicago Bulls,2025-12-31,New Orleans Pelicans,Home,-1.5,16,14.5,W,Favorite,134,118
Brooklyn Nets,2025-11-14,Orlando Magic,Away,14.5,-7,7.5,W,Underdog,98,105
Orlando Magic,2025-11-14,Brooklyn Nets,Home,-14.5,7,-7.5,L,Favorite,105,98
New York Knicks,2025-11-26,Charlotte Hornets,Away,-6.5,28,21.5,W,Favorite,129,101
Charlotte Hornets,2025-11-26,New York Knicks,Home,6.5,-28,-21.5,L,Underdog,101,129
New York Knicks,2025-11-17,Miami Heat,Away,1.5,-2,-0.5,L,Underdog,113,115
Miami Heat,2025-11-17,New York Knicks,Home,-1.5,2,0.5,W,Favorite,115,113
Philadelphia 76ers,2025-12-14,Atlanta Hawks,Away,4.5,-3,1.5,W,Underdog,117,120
Atlanta Hawks,2025-12-14,Philadelphia 76ers,Home,-4.5,3,-1.5,L,Favorite,120,117
New Orleans Pelicans,2025-11-05,Dallas Mavericks,Away,8.5,2,10.5,W,Underdog,101,99
Dallas Mavericks,2025-11-05,New Orleans Pelicans,Home,-8.5,-2,-10.5,L,Favorite,99,101
Houston Rockets,2025-11-01,Boston Celtics,Away,-5.5,27,21.5,W,Favorite,128,101
Boston Celtics,2025-11-01,Houston Rockets,Home,5.5,-27,-21.5,L,Underdog,101,128
Boston Celtics,2025-11-18,Brooklyn Nets,Away,-11.5,14,2.5,W,Favorite,113,99
Brooklyn Nets,2025-11-18,Boston Celtics,Home,11.5,-14,-2.5,L,Underdog,99,113
Miami Heat,2025-10-22,Orlando Magic,Away,8.5,-4,4.5,W,Underdog,121,125
Orlando Magic,2025-10-22,Miami Heat,Home,-8.5,4,-4.5,L,Favorite,125,121
Utah Jazz,2025-11-05,Detroit Pistons,Away,9.5,-11,-1.5,L,Underdog,103,114
Detroit Pistons,2025-11-05,Utah Jazz,Home,-9.5,11,1.5,W,Favorite,114,103
Indiana Pacers,2025-12-29,Houston Rockets,Away,13.5,-7,6.5,W,Underdog,119,126
Houston Rockets,2025-12-29,Indiana Pacers,Home,-13.5,7,-6.5,L,Favorite,126,119
LA Clippers,2025-11-25,Los Angeles Lakers,Away,6.5,-17,-10.5,L,Underdog,118,135
Los Angeles Lakers,2025-11-25,LA Clippers,Home,-6.5,17,10.5,W,Favorite,135,118
Orlando Magic,2025-10-30,Charlotte Hornets,Away,-3.5,16,12.5,W,Favorite,123,107
Charlotte Hornets,2025-10-30,Orlando Magic,Home,3.5,-16,-12.5,L,Underdog,107,123
Chicago Bulls,2025-12-01,Orlando Magic,Away,9.5,-5,4.5,W,Underdog,120,125
Orlando Magic,2025-12-01,Chicago Bulls,Home,-9.5,5,-4.5,L,Favorite,125,120
LA Clippers,2025-11-14,Dallas Mavericks,Away,-3.5,6,2.5,W,Favorite,133,127
Dallas Mavericks,2025-11-14,LA Clippers,Home,3.5,-6,-2.5,L,Underdog,127,133
Memphis Grizzlies,2026-01-02,Los Angeles Lakers,Away,4.5,-7,-2.5,L,Underdog,121,128
Los Angeles Lakers,2026-01-02,Memphis Grizzlies,Home,-4.5,7,2.5,W,Favorite,128,121
Golden State Warriors,2025-12-18,Phoenix Suns,Away,-1.5,-1,-2.5,L,Favorite,98,99
Phoenix Suns,2025-12-18,Golden State Warriors,Home,1.5,1,2.5,W,Underdog,99,98
Washington Wizards,2025-10-24,Dallas Mavericks,Away,9.5,10,19.5,W,Underdog,117,107
Dallas Mavericks,2025-10-24,Washington Wizards,Home,-9.5,-10,-19.5,L,Favorite,107,117
Houston Rockets,2025-10-21,Oklahoma City Thunder,Away,6.5,-1,5.5,W,Underdog,124,125
Oklahoma City Thunder,2025-10-21,Houston Rockets,Home,-6.5,1,-5.5,L,Favorite,125,124
Cleveland Cavaliers,2025-11-10,Miami Heat,Away,-7.5,-2,-9.5,L,Favorite,138,140
Miami Heat,2025-11-10,Cleveland Cavaliers,Home,7.5,2,9.5,W,Underdog,140,138
Oklahoma City Thunder,2025-11-17,New Orleans Pelicans,Away,-18.5,17,-1.5,L,Favorite,126,109
New Orleans Pelicans,2025-11-17,Oklahoma City Thunder,Home,18.5,-17,1.5,W,Underdog,109,126
Portland Trail Blazers,2025-12-03,Cleveland Cavaliers,Away,10.5,12,22.5,W,Underdog,122,110
Cleveland Cavaliers,2025-12-03,Portland Trail Blazers,Home,-10.5,-12,-22.5,L,Favorite,110,122
Houston Rockets,2025-11-24,Phoenix Suns,Away,-6.5,22,15.5,W,Favorite,114,92
Phoenix Suns,2025-11-24,Houston Rockets,Home,6.5,-22,-15.5,L,Underdog,92,114
Toronto Raptors,2025-11-07,Atlanta Hawks,Away,2.5,12,14.5,W,Underdog,109,97
Atlanta Hawks,2025-11-07,Toronto Raptors,Home,-2.5,-12,-14.5,L,Favorite,97,109
Boston Celtics,2025-12-11,Milwaukee Bucks,Away,-9.5,-15,-24.5,L,Favorite,101,116
Milwaukee Bucks,2025-12-11,Boston Celtics,Home,9.5,15,24.5,W,Underdog,116,101
Atlanta Hawks,2025-10-29,Brooklyn Nets,Away,-8.5,5,-3.5,L,Favorite,117,112
Brooklyn Nets,2025-10-29,Atlanta Hawks,Home,8.5,-5,3.5,W,Underdog,112,117
Indiana Pacers,2025-10-29,Dallas Mavericks,Away,5.5,-2,3.5,W,Underdog,105,107
Dallas Mavericks,2025-10-29,Indiana Pacers,Home,-5.5,2,-3.5,L,Favorite,107,105
Memphis Grizzlies,2025-12-28,Washington Wizards,Away,-8.5,-4,-12.5,L,Favorite,112,116
Washington Wizards,2025-12-28,Memphis Grizzlies,Home,8.5,4,12.5,W,Underdog,116,112
Minnesota Timberwolves,2026-01-03,Miami Heat,Away,-2.5,10,7.5,W,Favorite,125,115
Miami Heat,2026-01-03,Minnesota Timberwolves,Home,2.5,-10,-7.5,L,Underdog,115,125
Los Angeles Lakers,2025-11-03,Portland Trail Blazers,Away,9.5,8,17.5,W,Underdog,123,115
Portland Trail Blazers,2025-11-03,Los Angeles Lakers,Home,-9.5,-8,-17.5,L,Favorite,115,123
Los Angeles Lakers,2025-11-08,Atlanta Hawks,Away,-5.5,-20,-25.5,L,Favorite,102,122
Atlanta Hawks,2025-11-08,Los Angeles Lakers,Home,5.5,20,25.5,W,Underdog,122,102
