player,game,game_time,market,line,bookmaker,under_odds,over_odds
Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betrivers,-143,107
Pascal Siakam,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betrivers,-121,-110
Myles Turner,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betrivers,114,-150
Jalen Williams,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betrivers,112,-150
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,2.5,betrivers,-182,135
Tyrese Haliburton,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,3.5,betrivers,-155,116
Pascal Siakam,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,williamhill_us,-125,-109
Luguentz Dort,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,williamhill_us,126,-174
Jalen Williams,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,williamhill_us,108,-148
Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,williamhill_us,-133,-103
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,2.5,williamhill_us,-184,133
Tyrese Haliburton,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,3.5,williamhill_us,-148,108
Andrew Nembhard,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,williamhill_us,-204,146
Myles Turner,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,williamhill_us,116,-160
Myles Turner,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betonlineag,128,-167
Tyrese Haliburton,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,3.5,betonlineag,-156,120
Luguentz Dort,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betonlineag,129,-169
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,2.5,betonlineag,-185,141
Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betonlineag,-132,102
Andrew Nembhard,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betonlineag,-204,155
Pascal Siakam,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betonlineag,-120,-108
Jalen Williams,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betonlineag,119,-154
Tyrese Haliburton,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,3.5,betmgm,-145,105
Jalen Williams,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betmgm,115,-155
Pascal Siakam,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betmgm,-125,-105
Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betmgm,-130,100
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,2.5,betmgm,-185,135
Myles Turner,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betmgm,125,-165
Luguentz Dort,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betmgm,125,-165
Andrew Nembhard,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,betmgm,-210,155
Pascal Siakam,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,fanduel,-120,-104
Luguentz Dort,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,fanduel,128,-164
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,2.5,fanduel,-205,158
Myles Turner,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,fanduel,114,-146
Jalen Williams,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,fanduel,128,-164
