School,Nickname,Conference,team_name_espn
"California State University, Fullerton (Cal State Fullerton)",Titans,Big West,"California State , Fullerton (Cal State Fullerton) Titans"
"California State University, Northridge (Cal State Northridge or CSUN)",Matadors,Big West,"California State , Northridge (Cal State Northridge or CSUN) Matadors"
University of Hawaiʻi at Mānoa (Hawaii),Rainbow Warriors,Big West[d],Hawaiʻi at Mānoa (Hawaii) Rainbow Warriors
"California State University, Long Beach (Long Beach State)",The Beach,Big West,"California State , Long Beach (Long Beach State) The Beach"
"University of California, Davis (UC Davis)",Aggies,Big West[d],"California, Davis (UC Davis) Aggies"
"University of California, Irvine (UC Irvine)",Anteaters,Big West,"California, Irvine (UC Irvine) Anteaters"
"University of California, Riverside (UC Riverside)",Highlanders,Big West,"California, Riverside (UC Riverside) Highlanders"
"University of California, San Diego (UC San Diego, UCSD)",Tritons,Big West[e],"California, San Diego (UC San Diego, UCSD) Tritons"
"University of California, Santa Barbara (UC Santa Barbara, UCSB)",Gauchos,Big West,"California, Santa Barbara (UC Santa Barbara, UCSB) Gauchos"
Campbell University,Fighting Camels,CAA,Campbell Fighting Camels
College of Charleston (Charleston),Cougars,CAA,Charleston (Charleston) Cougars
Drexel University,Dragons,CAA,Drexel Dragons
Elon University,Phoenix,CAA,Elon Phoenix
Hampton University,Pirates,CAA,Hampton Pirates
Hofstra University,Pride,CAA,Hofstra Pride
Monmouth University,Hawks,CAA,Monmouth Hawks
North Carolina Agricultural and Technical State University (North Carolina A&T),Aggies,CAA,North Carolina Agricultural and Technical State (North Carolina A&T) Aggies
Northeastern University,Huskies,CAA,Northeastern Huskies
Stony Brook University,Seawolves,CAA,Stony Brook Seawolves
Towson University,Tigers,CAA,Towson Tigers
University of North Carolina at Wilmington (UNCW or UNC Wilmington),Seahawks,CAA,North Carolina at Wilmington (UNCW or UNC Wilmington) Seahawks
College of William & Mary,Tribe,CAA,William & Mary Tribe
University of Delaware,Fightin' Blue Hens,Conference USA,Delaware Fightin' Blue Hens
Florida International University (FIU),Panthers,Conference USA,Florida International (FIU) Panthers
Jacksonville State University,Gamecocks,Conference USA,Jacksonville State Gamecocks
Kennesaw State University,Owls,Conference USA,Kennesaw State Owls
Liberty University,Flames,Conference USA,Liberty Flames
Louisiana Tech University (alternately LA Tech),Bulldogs,Conference USA[f],Louisiana Tech (alternately LA Tech) Bulldogs
"Middle Tennessee State University (Middle Tennessee, MTSU)",Blue Raiders,Conference USA,"Middle Tennessee State (Middle Tennessee, MTSU) Blue Raiders"
Missouri State University,Bears,Conference USA,Missouri State Bears
New Mexico State University,Aggies,Conference USA,New Mexico State Aggies
Sam Houston State University (Sam Houston),Bearkats,Conference USA,Sam Houston State (Sam Houston) Bearkats
University of Texas at El Paso (UTEP),Miners,Conference USA[d],Texas at El Paso (UTEP) Miners
Western Kentucky University (WKU),Hilltoppers,Conference USA,Western Kentucky (WKU) Hilltoppers
Cleveland State University,Vikings,Horizon League,Cleveland State Vikings
University of Detroit Mercy,Titans,Horizon League,Detroit Mercy Titans
Indiana University Indianapolis (IU Indy),Jaguars,Horizon League,Indiana Indianapolis (IU Indy) Jaguars
University of Wisconsin-Milwaukee (Milwaukee),Panthers,Horizon League,Wisconsin-Milwaukee (Milwaukee) Panthers
Northern Kentucky University (NKU),Norse,Horizon League,Northern Kentucky (NKU) Norse
Oakland University,Golden Grizzlies,Horizon League,Oakland Golden Grizzlies
Purdue University Fort Wayne (Purdue Fort Wayne),Mastodons,Horizon League,Purdue Fort Wayne (Purdue Fort Wayne) Mastodons
Robert Morris University,Colonials,Horizon League,Robert Morris Colonials
University of Wisconsin–Green Bay (Green Bay),Phoenix,Horizon League,Wisconsin–Green Bay (Green Bay) Phoenix
Wright State University,Raiders,Horizon League,Wright State Raiders
Youngstown State University,Penguins,Horizon League,Youngstown State Penguins
Brown University,Bears,Ivy League,Brown Bears
Columbia University,Lions,Ivy League,Columbia Lions
Cornell University,Big Red,Ivy League,Cornell Big Red
Dartmouth College,Big Green,Ivy League,Dartmouth College Big Green
Harvard University,Crimson,Ivy League,Harvard Crimson
University of Pennsylvania (Penn),Quakers,Ivy League,Pennsylvania (Penn) Quakers
Princeton University,Tigers,Ivy League,Princeton Tigers
Yale University,Bulldogs,Ivy League,Yale Bulldogs
Canisius University,Golden Griffins,MAAC,Canisius Golden Griffins
Fairfield University,Stags,MAAC,Fairfield Stags
Iona University,Gaels,MAAC,Iona Gaels
Manhattan University,Jaspers,MAAC,Manhattan Jaspers
Marist University,Red Foxes,MAAC,Marist Red Foxes
Merrimack College,Warriors,MAAC,Merrimack College Warriors
Mount St. Mary's University,Mountaineers,MAAC,Mount St. Mary's Mountaineers
Niagara University,Purple Eagles,MAAC,Niagara Purple Eagles
Quinnipiac University,Bobcats,MAAC,Quinnipiac Bobcats
Rider University,Broncs,MAAC,Rider Broncs
Sacred Heart University,Pioneers,MAAC,Sacred Heart Pioneers
