date,season,player,team,opponent,bet_side,line,spread,line_tier,spread_bin,strategy_name,expected_roi,edge_vs_baseline,hit_rate,games_in_sample,game_time,bookmakers,num_bookmakers,bookmaker_details_over,bookmaker_details_under,edge_vs_breakeven
2026-01-18,2025-26,LaMelo Ball,CHA,DEN,UNDER,17.5,-1.5,15-20 (High Role),Pick'em (-2 to +2),15-20 (High Role) + Pick'em (-2 to +2) UNDER,7.3,4.6,56.2,169,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -120}, {""bookmaker"": ""BetOnline.ag"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -118}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -114}, {""bookmaker"": ""FanDuel"", ""line"": 17.5, ""odds"": -115}]","[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -110}, {""bookmaker"": ""BetOnline.ag"", ""line"": 17.5, ""odds"": -103}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -113}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -112}, {""bookmaker"": ""FanDuel"", ""line"": 17.5, ""odds"": -111}]",3.8200000000000003
2026-01-18,2025-26,LeBron James,LAL,TOR,OVER,23.5,-1.0,20-25 (Star),Pick'em (-2 to +2),20-25 (Star) + Pick'em (-2 to +2) OVER,8.1,8.2,56.6,106,2026-01-18 21:40:00-05:00,"BetOnline.ag, Caesars, DraftKings, FanDuel",4,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 23.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 23.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 23.5, ""odds"": -123}, {""bookmaker"": ""FanDuel"", ""line"": 23.5, ""odds"": -102}]","[{""bookmaker"": ""BetOnline.ag"", ""line"": 23.5, ""odds"": -112}, {""bookmaker"": ""Caesars"", ""line"": 23.5, ""odds"": -127}, {""bookmaker"": ""DraftKings"", ""line"": 23.5, ""odds"": -103}, {""bookmaker"": ""FanDuel"", ""line"": 23.5, ""odds"": -125}]",4.219999999999999
2026-01-18,2025-26,Miles Bridges,CHA,DEN,UNDER,17.5,-1.5,15-20 (High Role),Pick'em (-2 to +2),15-20 (High Role) + Pick'em (-2 to +2) UNDER,7.3,4.6,56.2,169,2026-01-18 20:10:00-05:00,"BetMGM, BetRivers, Bovada, Caesars, DraftKings",5,"[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -115}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -117}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -125}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -127}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -123}]","[{""bookmaker"": ""BetMGM"", ""line"": 17.5, ""odds"": -115}, {""bookmaker"": ""BetRivers"", ""line"": 17.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 17.5, ""odds"": -105}, {""bookmaker"": ""Caesars"", ""line"": 17.5, ""odds"": -106}, {""bookmaker"": ""DraftKings"", ""line"": 17.5, ""odds"": -104}]",3.8200000000000003
2026-01-18,2025-26,Moussa Diabate,CHA,DEN,UNDER,7.5,-1.5,5-10 (Bench),Pick'em (-2 to +2),5-10 (Bench) + Pick'em (-2 to +2) UNDER,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetRivers, Bovada, Caesars, DraftKings, FanDuel",5,"[{""bookmaker"": ""BetRivers"", ""line"": 7.5, ""odds"": -130}, {""bookmaker"": ""Bovada"", ""line"": 7.5, ""odds"": -145}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -132}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": -139}, {""bookmaker"": ""FanDuel"", ""line"": 7.5, ""odds"": -125}]","[{""bookmaker"": ""BetRivers"", ""line"": 7.5, ""odds"": -103}, {""bookmaker"": ""Bovada"", ""line"": 7.5, ""odds"": 110}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -102}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": 109}, {""bookmaker"": ""FanDuel"", ""line"": 7.5, ""odds"": -102}]",7.119999999999997
2026-01-18,2025-26,Peyton Watson,DEN,CHA,UNDER,19.5,1.5,15-20 (High Role),Pick'em (-2 to +2),15-20 (High Role) + Pick'em (-2 to +2) UNDER,7.3,4.6,56.2,169,2026-01-18 20:10:00-05:00,"BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetOnline.ag"", ""line"": 19.5, ""odds"": -106}, {""bookmaker"": ""BetRivers"", ""line"": 19.5, ""odds"": 104}, {""bookmaker"": ""Bovada"", ""line"": 19.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 19.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 19.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 19.5, ""odds"": -108}]","[{""bookmaker"": ""BetOnline.ag"", ""line"": 19.5, ""odds"": -122}, {""bookmaker"": ""BetRivers"", ""line"": 19.5, ""odds"": -137}, {""bookmaker"": ""Bovada"", ""line"": 19.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 19.5, ""odds"": -124}, {""bookmaker"": ""DraftKings"", ""line"": 19.5, ""odds"": -119}, {""bookmaker"": ""FanDuel"", ""line"": 19.5, ""odds"": -118}]",3.8200000000000003
2026-01-18,2025-26,Rui Hachimura,LAL,TOR,UNDER,7.5,-1.0,5-10 (Bench),Pick'em (-2 to +2),5-10 (Bench) + Pick'em (-2 to +2) UNDER,13.6,7.9,59.5,237,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, Caesars, DraftKings",4,"[{""bookmaker"": ""BetMGM"", ""line"": 7.5, ""odds"": -130}, {""bookmaker"": ""BetOnline.ag"", ""line"": 7.5, ""odds"": -105}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -108}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": -103}]","[{""bookmaker"": ""BetMGM"", ""line"": 7.5, ""odds"": -105}, {""bookmaker"": ""BetOnline.ag"", ""line"": 7.5, ""odds"": -123}, {""bookmaker"": ""Caesars"", ""line"": 7.5, ""odds"": -124}, {""bookmaker"": ""DraftKings"", ""line"": 7.5, ""odds"": -124}]",7.119999999999997
2026-01-18,2025-26,Saddiq Bey,NOP,HOU,OVER,13.5,13.5,10-15 (Role Player),10-15 Dog,10-15 (Role Player) + 10-15 Dog OVER,7.3,7.8,56.2,194,2026-01-18 19:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 13.5, ""odds"": 100}, {""bookmaker"": ""BetOnline.ag"", ""line"": 13.5, ""odds"": 109}, {""bookmaker"": ""BetRivers"", ""line"": 13.5, ""odds"": -113}, {""bookmaker"": ""Bovada"", ""line"": 13.5, ""odds"": 105}, {""bookmaker"": ""Caesars"", ""line"": 13.5, ""odds"": 100}, {""bookmaker"": ""FanDuel"", ""line"": 13.5, ""odds"": 100}]","[{""bookmaker"": ""BetMGM"", ""line"": 13.5, ""odds"": -130}, {""bookmaker"": ""BetOnline.ag"", ""line"": 13.5, ""odds"": -141}, {""bookmaker"": ""BetRivers"", ""line"": 13.5, ""odds"": -118}, {""bookmaker"": ""Bovada"", ""line"": 13.5, ""odds"": -135}, {""bookmaker"": ""Caesars"", ""line"": 13.5, ""odds"": -130}, {""bookmaker"": ""FanDuel"", ""line"": 13.5, ""odds"": -128}]",3.8200000000000003
2026-01-18,2025-26,Sandro Mamukelashvili,TOR,LAL,UNDER,9.5,1.0,5-10 (Bench),Pick'em (-2 to +2),5-10 (Bench) + Pick'em (-2 to +2) UNDER,13.6,7.9,59.5,237,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel, Fanatics",8,"[{""bookmaker"": ""BetMGM"", ""line"": 9.5, ""odds"": -135}, {""bookmaker"": ""BetOnline.ag"", ""line"": 9.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 9.5, ""odds"": -136}, {""bookmaker"": ""Bovada"", ""line"": 9.5, ""odds"": -150}, {""bookmaker"": ""Caesars"", ""line"": 9.5, ""odds"": -125}, {""bookmaker"": ""DraftKings"", ""line"": 9.5, ""odds"": -119}, {""bookmaker"": ""FanDuel"", ""line"": 9.5, ""odds"": -125}, {""bookmaker"": ""Fanatics"", ""line"": 9.5, ""odds"": -120}]","[{""bookmaker"": ""BetMGM"", ""line"": 9.5, ""odds"": 100}, {""bookmaker"": ""BetOnline.ag"", ""line"": 9.5, ""odds"": -114}, {""bookmaker"": ""BetRivers"", ""line"": 9.5, ""odds"": 102}, {""bookmaker"": ""Bovada"", ""line"": 9.5, ""odds"": 115}, {""bookmaker"": ""Caesars"", ""line"": 9.5, ""odds"": -107}, {""bookmaker"": ""DraftKings"", ""line"": 9.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 9.5, ""odds"": -102}, {""bookmaker"": ""Fanatics"", ""line"": 9.5, ""odds"": -110}]",7.119999999999997
2026-01-18,2025-26,Scottie Barnes,TOR,LAL,OVER,20.5,1.0,20-25 (Star),Pick'em (-2 to +2),20-25 (Star) + Pick'em (-2 to +2) OVER,8.1,8.2,56.6,106,2026-01-18 21:40:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings",6,"[{""bookmaker"": ""BetMGM"", ""line"": 20.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 20.5, ""odds"": -116}, {""bookmaker"": ""BetRivers"", ""line"": 20.5, ""odds"": -117}, {""bookmaker"": ""Bovada"", ""line"": 20.5, ""odds"": -120}, {""bookmaker"": ""Caesars"", ""line"": 20.5, ""odds"": -118}, {""bookmaker"": ""DraftKings"", ""line"": 20.5, ""odds"": -117}]","[{""bookmaker"": ""BetMGM"", ""line"": 20.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 20.5, ""odds"": -111}, {""bookmaker"": ""BetRivers"", ""line"": 20.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 20.5, ""odds"": -110}, {""bookmaker"": ""Caesars"", ""line"": 20.5, ""odds"": -112}, {""bookmaker"": ""DraftKings"", ""line"": 20.5, ""odds"": -109}]",4.219999999999999
2026-01-18,2025-26,Shaedon Sharpe,POR,SAC,UNDER,24.5,2.5,20-25 (Star),2-6 Dog,20-25 (Star) + 2-6 Dog UNDER,6.7,4.3,55.9,170,2026-01-18 21:10:00-05:00,"BetMGM, BetOnline.ag, BetRivers, Bovada, Caesars, DraftKings, FanDuel",7,"[{""bookmaker"": ""BetMGM"", ""line"": 24.5, ""odds"": -118}, {""bookmaker"": ""BetOnline.ag"", ""line"": 24.5, ""odds"": -109}, {""bookmaker"": ""BetRivers"", ""line"": 24.5, ""odds"": -115}, {""bookmaker"": ""Bovada"", ""line"": 24.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 24.5, ""odds"": -112}, {""bookmaker"": ""DraftKings"", ""line"": 24.5, ""odds"": -107}, {""bookmaker"": ""FanDuel"", ""line"": 24.5, ""odds"": -102}]","[{""bookmaker"": ""BetMGM"", ""line"": 24.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 24.5, ""odds"": -119}, {""bookmaker"": ""BetRivers"", ""line"": 24.5, ""odds"": -115}, {""bookmaker"": ""Bovada"", ""line"": 24.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 24.5, ""odds"": -121}, {""bookmaker"": ""DraftKings"", ""line"": 24.5, ""odds"": -120}, {""bookmaker"": ""FanDuel"", ""line"": 24.5, ""odds"": -125}]",3.519999999999996
2026-01-18,2025-26,Sion James,CHA,DEN,UNDER,5.5,-1.5,5-10 (Bench),Pick'em (-2 to +2),5-10 (Bench) + Pick'em (-2 to +2) UNDER,13.6,7.9,59.5,237,2026-01-18 20:10:00-05:00,"BetMGM, BetOnline.ag, Bovada, Caesars, DraftKings, FanDuel",6,"[{""bookmaker"": ""BetMGM"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""DraftKings"", ""line"": 5.5, ""odds"": -113}, {""bookmaker"": ""FanDuel"", ""line"": 5.5, ""odds"": -113}]","[{""bookmaker"": ""BetMGM"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""BetOnline.ag"", ""line"": 5.5, ""odds"": -114}, {""bookmaker"": ""Bovada"", ""line"": 5.5, ""odds"": -115}, {""bookmaker"": ""Caesars"", ""line"": 5.5, ""odds"": -117}, {""bookmaker"": ""DraftKings"", ""line"": 5.5, ""odds"": -113}, {""bookmaker"": ""FanDuel"", ""line"": 5.5, ""odds"": -113}]",7.119999999999997
